window_seconds,half_life_seconds,lambda_value,lambda_formula_value,lambda_matches_locked_value,warmup_steps,score_available_after_seconds,n_scores,minimum,p50,p90,p95,p99,maximum
5,3,0.206299,0.2062994740159002,True,20,24,1748,0.008823538989608078,1.9434839846861203,6.98403911914035,10.58144516780471,17.821694840038045,35.156224526011044
5,5,0.129449,0.12944943670387588,True,34,38,1734,0.016449681650888365,2.0977227887691896,7.317933439592396,10.403282592448486,17.86831722790972,31.84833815149658
5,10,0.066967,0.06696700846319259,True,67,71,1701,0.07145020165363054,2.4450918811270492,7.986743038946258,10.330247060910553,19.7482253791015,26.74769148608675
5,15,0.045158,0.0451583960895835,True,100,104,1668,0.08431162592700328,2.8941394106782417,8.487583524481925,10.626564645687516,19.08125599173427,24.429760663554635
5,20,0.034064,0.0340636710751544,True,133,137,1635,0.06394518951022957,3.1441157480296376,8.871610868378855,11.260862687252814,17.623752909166107,25.64431938664006
8,3,0.206299,0.2062994740159002,True,20,27,1745,0.026173800928178764,2.1089009600025,7.280136806462167,10.174368841694603,18.608695915515877,37.80523496348883
8,5,0.129449,0.12944943670387588,True,34,41,1731,0.03604870838082824,2.236951798052475,7.709519486142519,10.159150859392325,18.63162696025388,33.74151269296183
8,10,0.066967,0.06696700846319259,True,67,74,1698,0.04207213401854125,2.5308482049290677,8.134723119757131,10.55279987046635,19.46242942183296,26.898957177466713
8,15,0.045158,0.0451583960895835,True,100,107,1665,0.0414289010602619,3.039012221889741,8.524175648725977,11.220951243277804,19.10493627593452,25.81266266303805
8,20,0.034064,0.0340636710751544,True,133,140,1632,0.07942033497652248,3.3047158649287294,9.197797583166297,11.76723936620806,18.286304642749652,26.654207901346012
10,3,0.206299,0.2062994740159002,True,20,29,1743,0.05911414296895834,2.135595097839478,7.698824771179738,9.969048025298644,18.826074766102195,40.690855451883095
10,5,0.129449,0.12944943670387588,True,34,43,1729,0.021040838554529057,2.2412392311493967,7.859462448888496,10.072876351298104,19.083319034991312,34.67530693046849
10,10,0.066967,0.06696700846319259,True,67,76,1696,0.058758495407339933,2.597428678221572,8.057637492036916,10.728904847248906,20.39769067339762,26.86338929821241
10,15,0.045158,0.0451583960895835,True,100,109,1663,0.06292044482187034,3.169093787639391,8.605365399585004,11.570463237103912,19.2480786069929,23.9476007744938
10,20,0.034064,0.0340636710751544,True,133,142,1630,0.10986182329143587,3.4717540536554052,9.466608999547057,11.865713722674247,18.198731124520556,24.65424773353997
