dataset_id,window_seconds,half_life_seconds,lambda_value,score_available_after_seconds,warning_quantile,upper_quantile,warning_limit,upper_limit,warning_false_positive_rate,upper_false_positive_rate,persistent_upper_false_positive_rate,horizon_states,required_count,persistent_episode_count
N3,5,3,0.206299,24,0.9,0.99,6.98403911914035,17.821694840038045,0.10011441647597254,0.010297482837528604,0.007437070938215103,10,6,1
N3,5,3,0.206299,24,0.9,0.99,6.98403911914035,17.821694840038045,0.10011441647597254,0.010297482837528604,0.005148741418764302,10,8,1
N3,5,3,0.206299,24,0.9,0.99,6.98403911914035,17.821694840038045,0.10011441647597254,0.010297482837528604,0.004004576659038902,10,9,1
N3,5,3,0.206299,24,0.9,0.995,6.98403911914035,25.226362674343388,0.10011441647597254,0.005148741418764302,0.004576659038901602,10,6,1
N3,5,3,0.206299,24,0.9,0.995,6.98403911914035,25.226362674343388,0.10011441647597254,0.005148741418764302,0.002288329519450801,10,8,1
N3,5,3,0.206299,24,0.9,0.995,6.98403911914035,25.226362674343388,0.10011441647597254,0.005148741418764302,0.0011441647597254005,10,9,1
N3,5,3,0.206299,24,0.95,0.99,10.58144516780471,17.821694840038045,0.05034324942791762,0.010297482837528604,0.007437070938215103,10,6,1
N3,5,3,0.206299,24,0.95,0.99,10.58144516780471,17.821694840038045,0.05034324942791762,0.010297482837528604,0.005148741418764302,10,8,1
N3,5,3,0.206299,24,0.95,0.99,10.58144516780471,17.821694840038045,0.05034324942791762,0.010297482837528604,0.004004576659038902,10,9,1
N3,5,3,0.206299,24,0.95,0.995,10.58144516780471,25.226362674343388,0.05034324942791762,0.005148741418764302,0.004576659038901602,10,6,1
N3,5,3,0.206299,24,0.95,0.995,10.58144516780471,25.226362674343388,0.05034324942791762,0.005148741418764302,0.002288329519450801,10,8,1
N3,5,3,0.206299,24,0.95,0.995,10.58144516780471,25.226362674343388,0.05034324942791762,0.005148741418764302,0.0011441647597254005,10,9,1
N3,5,3,0.206299,24,0.975,0.99,13.739312713698931,17.821694840038045,0.02517162471395881,0.010297482837528604,0.007437070938215103,10,6,1
N3,5,3,0.206299,24,0.975,0.99,13.739312713698931,17.821694840038045,0.02517162471395881,0.010297482837528604,0.005148741418764302,10,8,1
N3,5,3,0.206299,24,0.975,0.99,13.739312713698931,17.821694840038045,0.02517162471395881,0.010297482837528604,0.004004576659038902,10,9,1
N3,5,3,0.206299,24,0.975,0.995,13.739312713698931,25.226362674343388,0.02517162471395881,0.005148741418764302,0.004576659038901602,10,6,1
N3,5,3,0.206299,24,0.975,0.995,13.739312713698931,25.226362674343388,0.02517162471395881,0.005148741418764302,0.002288329519450801,10,8,1
N3,5,3,0.206299,24,0.975,0.995,13.739312713698931,25.226362674343388,0.02517162471395881,0.005148741418764302,0.0011441647597254005,10,9,1
N3,5,5,0.129449,38,0.9,0.99,7.317933439592396,17.86831722790972,0.10034602076124567,0.010380622837370242,0.008073817762399077,10,6,1
N3,5,5,0.129449,38,0.9,0.99,7.317933439592396,17.86831722790972,0.10034602076124567,0.010380622837370242,0.0057670126874279125,10,8,1
N3,5,5,0.129449,38,0.9,0.99,7.317933439592396,17.86831722790972,0.10034602076124567,0.010380622837370242,0.00461361014994233,10,9,1
N3,5,5,0.129449,38,0.9,0.995,7.317933439592396,27.102973665784194,0.10034602076124567,0.005190311418685121,0.00461361014994233,10,6,1
N3,5,5,0.129449,38,0.9,0.995,7.317933439592396,27.102973665784194,0.10034602076124567,0.005190311418685121,0.002306805074971165,10,8,1
N3,5,5,0.129449,38,0.9,0.995,7.317933439592396,27.102973665784194,0.10034602076124567,0.005190311418685121,0.0011534025374855825,10,9,1
N3,5,5,0.129449,38,0.95,0.99,10.403282592448486,17.86831722790972,0.050173010380622836,0.010380622837370242,0.008073817762399077,10,6,1
N3,5,5,0.129449,38,0.95,0.99,10.403282592448486,17.86831722790972,0.050173010380622836,0.010380622837370242,0.0057670126874279125,10,8,1
N3,5,5,0.129449,38,0.95,0.99,10.403282592448486,17.86831722790972,0.050173010380622836,0.010380622837370242,0.00461361014994233,10,9,1
N3,5,5,0.129449,38,0.95,0.995,10.403282592448486,27.102973665784194,0.050173010380622836,0.005190311418685121,0.00461361014994233,10,6,1
N3,5,5,0.129449,38,0.95,0.995,10.403282592448486,27.102973665784194,0.050173010380622836,0.005190311418685121,0.002306805074971165,10,8,1
N3,5,5,0.129449,38,0.95,0.995,10.403282592448486,27.102973665784194,0.050173010380622836,0.005190311418685121,0.0011534025374855825,10,9,1
N3,5,5,0.129449,38,0.975,0.99,13.281680006367612,17.86831722790972,0.025374855824682813,0.010380622837370242,0.008073817762399077,10,6,1
N3,5,5,0.129449,38,0.975,0.99,13.281680006367612,17.86831722790972,0.025374855824682813,0.010380622837370242,0.0057670126874279125,10,8,1
N3,5,5,0.129449,38,0.975,0.99,13.281680006367612,17.86831722790972,0.025374855824682813,0.010380622837370242,0.00461361014994233,10,9,1
N3,5,5,0.129449,38,0.975,0.995,13.281680006367612,27.102973665784194,0.025374855824682813,0.005190311418685121,0.00461361014994233,10,6,1
N3,5,5,0.129449,38,0.975,0.995,13.281680006367612,27.102973665784194,0.025374855824682813,0.005190311418685121,0.002306805074971165,10,8,1
N3,5,5,0.129449,38,0.975,0.995,13.281680006367612,27.102973665784194,0.025374855824682813,0.005190311418685121,0.0011534025374855825,10,9,1
N3,5,10,0.066967,71,0.9,0.99,7.986743038946258,19.7482253791015,0.10052910052910052,0.010582010582010581,0.00823045267489712,10,6,1
N3,5,10,0.066967,71,0.9,0.99,7.986743038946258,19.7482253791015,0.10052910052910052,0.010582010582010581,0.005878894767783657,10,8,1
N3,5,10,0.066967,71,0.9,0.99,7.986743038946258,19.7482253791015,0.10052910052910052,0.010582010582010581,0.004703115814226925,10,9,1
N3,5,10,0.066967,71,0.9,0.995,7.986743038946258,24.6439061183975,0.10052910052910052,0.005291005291005291,0.004703115814226925,10,6,1
N3,5,10,0.066967,71,0.9,0.995,7.986743038946258,24.6439061183975,0.10052910052910052,0.005291005291005291,0.0023515579071134627,10,8,1
N3,5,10,0.066967,71,0.9,0.995,7.986743038946258,24.6439061183975,0.10052910052910052,0.005291005291005291,0.0011757789535567313,10,9,1
N3,5,10,0.066967,71,0.95,0.99,10.330247060910553,19.7482253791015,0.05055849500293945,0.010582010582010581,0.00823045267489712,10,6,1
N3,5,10,0.066967,71,0.95,0.99,10.330247060910553,19.7482253791015,0.05055849500293945,0.010582010582010581,0.005878894767783657,10,8,1
N3,5,10,0.066967,71,0.95,0.99,10.330247060910553,19.7482253791015,0.05055849500293945,0.010582010582010581,0.004703115814226925,10,9,1
N3,5,10,0.066967,71,0.95,0.995,10.330247060910553,24.6439061183975,0.05055849500293945,0.005291005291005291,0.004703115814226925,10,6,1
N3,5,10,0.066967,71,0.95,0.995,10.330247060910553,24.6439061183975,0.05055849500293945,0.005291005291005291,0.0023515579071134627,10,8,1
N3,5,10,0.066967,71,0.95,0.995,10.330247060910553,24.6439061183975,0.05055849500293945,0.005291005291005291,0.0011757789535567313,10,9,1
N3,5,10,0.066967,71,0.975,0.99,13.024930933353378,19.7482253791015,0.025279247501469725,0.010582010582010581,0.00823045267489712,10,6,1
N3,5,10,0.066967,71,0.975,0.99,13.024930933353378,19.7482253791015,0.025279247501469725,0.010582010582010581,0.005878894767783657,10,8,1
N3,5,10,0.066967,71,0.975,0.99,13.024930933353378,19.7482253791015,0.025279247501469725,0.010582010582010581,0.004703115814226925,10,9,1
N3,5,10,0.066967,71,0.975,0.995,13.024930933353378,24.6439061183975,0.025279247501469725,0.005291005291005291,0.004703115814226925,10,6,1
N3,5,10,0.066967,71,0.975,0.995,13.024930933353378,24.6439061183975,0.025279247501469725,0.005291005291005291,0.0023515579071134627,10,8,1
N3,5,10,0.066967,71,0.975,0.995,13.024930933353378,24.6439061183975,0.025279247501469725,0.005291005291005291,0.0011757789535567313,10,9,1
N3,5,15,0.045158,104,0.9,0.99,8.487583524481925,19.08125599173427,0.10011990407673861,0.010191846522781775,0.007194244604316547,10,6,1
N3,5,15,0.045158,104,0.9,0.99,8.487583524481925,19.08125599173427,0.10011990407673861,0.010191846522781775,0.004796163069544364,10,8,1
N3,5,15,0.045158,104,0.9,0.99,8.487583524481925,19.08125599173427,0.10011990407673861,0.010191846522781775,0.0035971223021582736,10,9,1
N3,5,15,0.045158,104,0.9,0.995,8.487583524481925,22.488364378189562,0.10011990407673861,0.00539568345323741,0.002997601918465228,10,6,1
N3,5,15,0.045158,104,0.9,0.995,8.487583524481925,22.488364378189562,0.10011990407673861,0.00539568345323741,0.0,10,8,0
N3,5,15,0.045158,104,0.9,0.995,8.487583524481925,22.488364378189562,0.10011990407673861,0.00539568345323741,0.0,10,9,0
N3,5,15,0.045158,104,0.95,0.99,10.626564645687516,19.08125599173427,0.050359712230215826,0.010191846522781775,0.007194244604316547,10,6,1
N3,5,15,0.045158,104,0.95,0.99,10.626564645687516,19.08125599173427,0.050359712230215826,0.010191846522781775,0.004796163069544364,10,8,1
N3,5,15,0.045158,104,0.95,0.99,10.626564645687516,19.08125599173427,0.050359712230215826,0.010191846522781775,0.0035971223021582736,10,9,1
N3,5,15,0.045158,104,0.95,0.995,10.626564645687516,22.488364378189562,0.050359712230215826,0.00539568345323741,0.002997601918465228,10,6,1
N3,5,15,0.045158,104,0.95,0.995,10.626564645687516,22.488364378189562,0.050359712230215826,0.00539568345323741,0.0,10,8,0
N3,5,15,0.045158,104,0.95,0.995,10.626564645687516,22.488364378189562,0.050359712230215826,0.00539568345323741,0.0,10,9,0
N3,5,15,0.045158,104,0.975,0.99,13.073106015672767,19.08125599173427,0.025179856115107913,0.010191846522781775,0.007194244604316547,10,6,1
N3,5,15,0.045158,104,0.975,0.99,13.073106015672767,19.08125599173427,0.025179856115107913,0.010191846522781775,0.004796163069544364,10,8,1
N3,5,15,0.045158,104,0.975,0.99,13.073106015672767,19.08125599173427,0.025179856115107913,0.010191846522781775,0.0035971223021582736,10,9,1
N3,5,15,0.045158,104,0.975,0.995,13.073106015672767,22.488364378189562,0.025179856115107913,0.00539568345323741,0.002997601918465228,10,6,1
N3,5,15,0.045158,104,0.975,0.995,13.073106015672767,22.488364378189562,0.025179856115107913,0.00539568345323741,0.0,10,8,0
N3,5,15,0.045158,104,0.975,0.995,13.073106015672767,22.488364378189562,0.025179856115107913,0.00539568345323741,0.0,10,9,0
N3,5,20,0.034064,137,0.9,0.99,8.871610868378855,17.623752909166107,0.10030581039755351,0.010397553516819572,0.005504587155963303,10,6,1
N3,5,20,0.034064,137,0.9,0.99,8.871610868378855,17.623752909166107,0.10030581039755351,0.010397553516819572,0.0030581039755351682,10,8,1
N3,5,20,0.034064,137,0.9,0.99,8.871610868378855,17.623752909166107,0.10030581039755351,0.010397553516819572,0.001834862385321101,10,9,1
N3,5,20,0.034064,137,0.9,0.995,8.871610868378855,20.27018501815608,0.10030581039755351,0.005504587155963303,0.0,10,6,0
N3,5,20,0.034064,137,0.9,0.995,8.871610868378855,20.27018501815608,0.10030581039755351,0.005504587155963303,0.0,10,8,0
N3,5,20,0.034064,137,0.9,0.995,8.871610868378855,20.27018501815608,0.10030581039755351,0.005504587155963303,0.0,10,9,0
N3,5,20,0.034064,137,0.95,0.99,11.260862687252814,17.623752909166107,0.05015290519877676,0.010397553516819572,0.005504587155963303,10,6,1
N3,5,20,0.034064,137,0.95,0.99,11.260862687252814,17.623752909166107,0.05015290519877676,0.010397553516819572,0.0030581039755351682,10,8,1
N3,5,20,0.034064,137,0.95,0.99,11.260862687252814,17.623752909166107,0.05015290519877676,0.010397553516819572,0.001834862385321101,10,9,1
N3,5,20,0.034064,137,0.95,0.995,11.260862687252814,20.27018501815608,0.05015290519877676,0.005504587155963303,0.0,10,6,0
N3,5,20,0.034064,137,0.95,0.995,11.260862687252814,20.27018501815608,0.05015290519877676,0.005504587155963303,0.0,10,8,0
N3,5,20,0.034064,137,0.95,0.995,11.260862687252814,20.27018501815608,0.05015290519877676,0.005504587155963303,0.0,10,9,0
N3,5,20,0.034064,137,0.975,0.99,13.040213523010788,17.623752909166107,0.02507645259938838,0.010397553516819572,0.005504587155963303,10,6,1
N3,5,20,0.034064,137,0.975,0.99,13.040213523010788,17.623752909166107,0.02507645259938838,0.010397553516819572,0.0030581039755351682,10,8,1
N3,5,20,0.034064,137,0.975,0.99,13.040213523010788,17.623752909166107,0.02507645259938838,0.010397553516819572,0.001834862385321101,10,9,1
N3,5,20,0.034064,137,0.975,0.995,13.040213523010788,20.27018501815608,0.02507645259938838,0.005504587155963303,0.0,10,6,0
N3,5,20,0.034064,137,0.975,0.995,13.040213523010788,20.27018501815608,0.02507645259938838,0.005504587155963303,0.0,10,8,0
N3,5,20,0.034064,137,0.975,0.995,13.040213523010788,20.27018501815608,0.02507645259938838,0.005504587155963303,0.0,10,9,0
N3,8,3,0.206299,27,0.9,0.99,7.280136806462167,18.608695915515877,0.10028653295128939,0.010315186246418338,0.007449856733524355,16,9,1
N3,8,3,0.206299,27,0.9,0.99,7.280136806462167,18.608695915515877,0.10028653295128939,0.010315186246418338,0.0040114613180515755,16,12,1
N3,8,3,0.206299,27,0.9,0.99,7.280136806462167,18.608695915515877,0.10028653295128939,0.010315186246418338,0.0,16,15,0
N3,8,3,0.206299,27,0.9,0.995,7.280136806462167,25.58879353054043,0.10028653295128939,0.005157593123209169,0.004584527220630372,16,9,1
N3,8,3,0.206299,27,0.9,0.995,7.280136806462167,25.58879353054043,0.10028653295128939,0.005157593123209169,0.0,16,12,0
N3,8,3,0.206299,27,0.9,0.995,7.280136806462167,25.58879353054043,0.10028653295128939,0.005157593123209169,0.0,16,15,0
N3,8,3,0.206299,27,0.95,0.99,10.174368841694603,18.608695915515877,0.0504297994269341,0.010315186246418338,0.007449856733524355,16,9,1
N3,8,3,0.206299,27,0.95,0.99,10.174368841694603,18.608695915515877,0.0504297994269341,0.010315186246418338,0.0040114613180515755,16,12,1
N3,8,3,0.206299,27,0.95,0.99,10.174368841694603,18.608695915515877,0.0504297994269341,0.010315186246418338,0.0,16,15,0
N3,8,3,0.206299,27,0.95,0.995,10.174368841694603,25.58879353054043,0.0504297994269341,0.005157593123209169,0.004584527220630372,16,9,1
N3,8,3,0.206299,27,0.95,0.995,10.174368841694603,25.58879353054043,0.0504297994269341,0.005157593123209169,0.0,16,12,0
N3,8,3,0.206299,27,0.95,0.995,10.174368841694603,25.58879353054043,0.0504297994269341,0.005157593123209169,0.0,16,15,0
N3,8,3,0.206299,27,0.975,0.99,12.858651313374208,18.608695915515877,0.02521489971346705,0.010315186246418338,0.007449856733524355,16,9,1
N3,8,3,0.206299,27,0.975,0.99,12.858651313374208,18.608695915515877,0.02521489971346705,0.010315186246418338,0.0040114613180515755,16,12,1
N3,8,3,0.206299,27,0.975,0.99,12.858651313374208,18.608695915515877,0.02521489971346705,0.010315186246418338,0.0,16,15,0
N3,8,3,0.206299,27,0.975,0.995,12.858651313374208,25.58879353054043,0.02521489971346705,0.005157593123209169,0.004584527220630372,16,9,1
N3,8,3,0.206299,27,0.975,0.995,12.858651313374208,25.58879353054043,0.02521489971346705,0.005157593123209169,0.0,16,12,0
N3,8,3,0.206299,27,0.975,0.995,12.858651313374208,25.58879353054043,0.02521489971346705,0.005157593123209169,0.0,16,15,0
N3,8,5,0.129449,41,0.9,0.99,7.709519486142519,18.63162696025388,0.10051993067590988,0.010398613518197574,0.008087810514153668,16,9,1
N3,8,5,0.129449,41,0.9,0.99,7.709519486142519,18.63162696025388,0.10051993067590988,0.010398613518197574,0.00462160600808781,16,12,1
N3,8,5,0.129449,41,0.9,0.99,7.709519486142519,18.63162696025388,0.10051993067590988,0.010398613518197574,0.0011554015020219526,16,15,1
N3,8,5,0.129449,41,0.9,0.995,7.709519486142519,26.377890879751508,0.10051993067590988,0.005199306759098787,0.00462160600808781,16,9,1
N3,8,5,0.129449,41,0.9,0.995,7.709519486142519,26.377890879751508,0.10051993067590988,0.005199306759098787,0.0,16,12,0
N3,8,5,0.129449,41,0.9,0.995,7.709519486142519,26.377890879751508,0.10051993067590988,0.005199306759098787,0.0,16,15,0
N3,8,5,0.129449,41,0.95,0.99,10.159150859392325,18.63162696025388,0.05025996533795494,0.010398613518197574,0.008087810514153668,16,9,1
N3,8,5,0.129449,41,0.95,0.99,10.159150859392325,18.63162696025388,0.05025996533795494,0.010398613518197574,0.00462160600808781,16,12,1
N3,8,5,0.129449,41,0.95,0.99,10.159150859392325,18.63162696025388,0.05025996533795494,0.010398613518197574,0.0011554015020219526,16,15,1
N3,8,5,0.129449,41,0.95,0.995,10.159150859392325,26.377890879751508,0.05025996533795494,0.005199306759098787,0.00462160600808781,16,9,1
N3,8,5,0.129449,41,0.95,0.995,10.159150859392325,26.377890879751508,0.05025996533795494,0.005199306759098787,0.0,16,12,0
N3,8,5,0.129449,41,0.95,0.995,10.159150859392325,26.377890879751508,0.05025996533795494,0.005199306759098787,0.0,16,15,0
N3,8,5,0.129449,41,0.975,0.99,13.222906315312706,18.63162696025388,0.025418833044482957,0.010398613518197574,0.008087810514153668,16,9,1
N3,8,5,0.129449,41,0.975,0.99,13.222906315312706,18.63162696025388,0.025418833044482957,0.010398613518197574,0.00462160600808781,16,12,1
N3,8,5,0.129449,41,0.975,0.99,13.222906315312706,18.63162696025388,0.025418833044482957,0.010398613518197574,0.0011554015020219526,16,15,1
N3,8,5,0.129449,41,0.975,0.995,13.222906315312706,26.377890879751508,0.025418833044482957,0.005199306759098787,0.00462160600808781,16,9,1
N3,8,5,0.129449,41,0.975,0.995,13.222906315312706,26.377890879751508,0.025418833044482957,0.005199306759098787,0.0,16,12,0
N3,8,5,0.129449,41,0.975,0.995,13.222906315312706,26.377890879751508,0.025418833044482957,0.005199306759098787,0.0,16,15,0
N3,8,10,0.066967,74,0.9,0.99,8.134723119757131,19.46242942183296,0.10011778563015312,0.010011778563015312,0.0076560659599528855,16,9,1
N3,8,10,0.066967,74,0.9,0.99,8.134723119757131,19.46242942183296,0.10011778563015312,0.010011778563015312,0.004122497055359246,16,12,1
N3,8,10,0.066967,74,0.9,0.99,8.134723119757131,19.46242942183296,0.10011778563015312,0.010011778563015312,0.0,16,15,0
N3,8,10,0.066967,74,0.9,0.995,8.134723119757131,24.93193734784014,0.10011778563015312,0.00530035335689046,0.004711425206124852,16,9,1
N3,8,10,0.066967,74,0.9,0.995,8.134723119757131,24.93193734784014,0.10011778563015312,0.00530035335689046,0.0,16,12,0
N3,8,10,0.066967,74,0.9,0.995,8.134723119757131,24.93193734784014,0.10011778563015312,0.00530035335689046,0.0,16,15,0
N3,8,10,0.066967,74,0.95,0.99,10.55279987046635,19.46242942183296,0.05005889281507656,0.010011778563015312,0.0076560659599528855,16,9,1
N3,8,10,0.066967,74,0.95,0.99,10.55279987046635,19.46242942183296,0.05005889281507656,0.010011778563015312,0.004122497055359246,16,12,1
N3,8,10,0.066967,74,0.95,0.99,10.55279987046635,19.46242942183296,0.05005889281507656,0.010011778563015312,0.0,16,15,0
N3,8,10,0.066967,74,0.95,0.995,10.55279987046635,24.93193734784014,0.05005889281507656,0.00530035335689046,0.004711425206124852,16,9,1
N3,8,10,0.066967,74,0.95,0.995,10.55279987046635,24.93193734784014,0.05005889281507656,0.00530035335689046,0.0,16,12,0
N3,8,10,0.066967,74,0.95,0.995,10.55279987046635,24.93193734784014,0.05005889281507656,0.00530035335689046,0.0,16,15,0
N3,8,10,0.066967,74,0.975,0.99,13.060234331972769,19.46242942183296,0.025323910482921083,0.010011778563015312,0.0076560659599528855,16,9,1
N3,8,10,0.066967,74,0.975,0.99,13.060234331972769,19.46242942183296,0.025323910482921083,0.010011778563015312,0.004122497055359246,16,12,1
N3,8,10,0.066967,74,0.975,0.99,13.060234331972769,19.46242942183296,0.025323910482921083,0.010011778563015312,0.0,16,15,0
N3,8,10,0.066967,74,0.975,0.995,13.060234331972769,24.93193734784014,0.025323910482921083,0.00530035335689046,0.004711425206124852,16,9,1
N3,8,10,0.066967,74,0.975,0.995,13.060234331972769,24.93193734784014,0.025323910482921083,0.00530035335689046,0.0,16,12,0
N3,8,10,0.066967,74,0.975,0.995,13.060234331972769,24.93193734784014,0.025323910482921083,0.00530035335689046,0.0,16,15,0
N3,8,15,0.045158,107,0.9,0.99,8.524175648725977,19.10493627593452,0.1003003003003003,0.01021021021021021,0.006606606606606606,16,9,1
N3,8,15,0.045158,107,0.9,0.99,8.524175648725977,19.10493627593452,0.1003003003003003,0.01021021021021021,0.003003003003003003,16,12,1
N3,8,15,0.045158,107,0.9,0.99,8.524175648725977,19.10493627593452,0.1003003003003003,0.01021021021021021,0.0,16,15,0
N3,8,15,0.045158,107,0.9,0.995,8.524175648725977,22.228189577791113,0.1003003003003003,0.005405405405405406,0.0,16,9,0
N3,8,15,0.045158,107,0.9,0.995,8.524175648725977,22.228189577791113,0.1003003003003003,0.005405405405405406,0.0,16,12,0
N3,8,15,0.045158,107,0.9,0.995,8.524175648725977,22.228189577791113,0.1003003003003003,0.005405405405405406,0.0,16,15,0
N3,8,15,0.045158,107,0.95,0.99,11.220951243277804,19.10493627593452,0.05045045045045045,0.01021021021021021,0.006606606606606606,16,9,1
N3,8,15,0.045158,107,0.95,0.99,11.220951243277804,19.10493627593452,0.05045045045045045,0.01021021021021021,0.003003003003003003,16,12,1
