phase,pulse,burst_duration_s,cooldown_duration_s,elapsed_s,utc,scenario,recovery_extended
baseline,0,0,0,0,2026-07-04T02:42:06Z,A_BURST_BASELINE_600S,0
pulse_1_burst,1,5,0,600,2026-07-04T02:42:06Z,A_BURST_PULSE1_5S,0
pulse_1_cooldown,1,5,300,605,2026-07-04T02:42:13Z,A_BURST_PULSE1_COOLDOWN_300S,0
pulse_2_burst,2,10,0,905,2026-07-04T02:47:13Z,A_BURST_PULSE2_10S,0
pulse_2_cooldown,2,10,300,915,2026-07-04T02:47:25Z,A_BURST_PULSE2_COOLDOWN_300S,0
pulse_3_burst,3,20,0,1215,2026-07-04T02:52:25Z,A_BURST_PULSE3_20S,0
pulse_3_cooldown,3,20,300,1235,2026-07-04T02:52:47Z,A_BURST_PULSE3_COOLDOWN_300S,0
pulse_4_burst,4,40,0,1535,2026-07-04T02:57:47Z,A_BURST_PULSE4_40S,0
pulse_4_cooldown,4,40,300,1575,2026-07-04T02:58:28Z,A_BURST_PULSE4_COOLDOWN_300S,0
pulse_5_burst,5,60,0,1875,2026-07-04T03:03:28Z,A_BURST_PULSE5_60S,0
pulse_5_cooldown,5,60,300,1935,2026-07-04T03:04:30Z,A_BURST_PULSE5_COOLDOWN_300S,0
recovery,0,0,0,2235,2026-07-04T03:09:30Z,A_BURST_POST_RECOVERY,0
recovery_end,0,0,0,2835,2026-07-04T03:19:30Z,A_BURST_POST_RECOVERY,0
