timestamp_utc,timestamp_unix_ns,sample_index,elapsed_s,sample_interval_s,sample_lag_ms,timing_ok,run_id,profile,pod_name,pod_uid,container_id,host_pid,cgroup_path,m1_cpu_millicores,m2_cpu_throttle_ratio,m3_memory_working_set_bytes,m4_memory_growth_bytes_per_s,m4_memory_slope_ready,m5_network_rx_bytes_per_s,m6_network_tx_bytes_per_s,m7_filesystem_read_bytes_per_s,m8_filesystem_write_bytes_per_s,m9_socket_count,m10_fd_count,m11_thread_count,cpu_usage_usec_total,cpu_nr_periods_total,cpu_nr_throttled_total,cpu_throttled_usec_total,memory_current_bytes,memory_inactive_file_bytes,network_rx_bytes_total,network_tx_bytes_total,filesystem_read_bytes_total,filesystem_write_bytes_total,process_count,rmr_rx_total,rmr_rx_per_s,rmr_tx_total,rmr_tx_per_s,ric_indication_total,ric_indication_per_s,work_units_total,work_units_per_s,heartbeat_total,heartbeat_per_s,heartbeat_stall_age_s,last_rmr_rx_age_s,last_work_age_s,rmr_tx_status,metrics_endpoint_ok,metrics_endpoint_error,cpu_limit_enabled,cpu_quota_us,cpu_period_us,memory_limit_enabled,memory_limit_bytes,host_mem_available_bytes,host_swap_used_bytes,resource_counter_reset,runtime_counter_reset,sample_quality
2026-07-04T02:31:59.577+00:00,1783132319576005583,1,1.001070,1.001070,1.070,1,A-BURST-PULSETRAIN-BLIND-20260704T023154Z,ATTACK_A_BURST_PULSETRAIN_BLIND,ricxapp-kpimon-go-59f56d57f9-9dpq5,67b8a2bb-89c7-4806-ad83-34da70b4cbe8,041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978,27822,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod67b8a2bb_89c7_4806_ad83_34da70b4cbe8.slice/cri-containerd-041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978.scope,2.103,0.000000,20471808,,0,1064.861,1374.529,0.000,0.000,0,0,26,394481451,30707,18922,1480401383,57257984,36786176,4554588,5280668,40968192,790528,3,105,0.000000,0,0.000000,105,0.000000,105,0.000000,8493,0.998931,0.000,71.849,71.846,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3679887360,454672384,0,0,memory_slope_warmup
2026-07-04T02:32:00.578+00:00,1783132320576042506,2,2.001108,1.000038,1.108,1,A-BURST-PULSETRAIN-BLIND-20260704T023154Z,ATTACK_A_BURST_PULSETRAIN_BLIND,ricxapp-kpimon-go-59f56d57f9-9dpq5,67b8a2bb-89c7-4806-ad83-34da70b4cbe8,041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978,27822,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod67b8a2bb_89c7_4806_ad83_34da70b4cbe8.slice/cri-containerd-041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978.scope,1.285,0.000000,20475904,,0,604.977,911.966,0.000,0.000,0,0,26,394482736,30707,18922,1480401383,57262080,36786176,4555193,5281580,40968192,790528,3,105,0.000000,0,0.000000,105,0.000000,105,0.000000,8494,0.999962,0.000,72.849,72.846,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3914412032,454672384,0,0,memory_slope_warmup
2026-07-04T02:32:01.577+00:00,1783132321576386231,3,3.001451,1.000344,1.451,1,A-BURST-PULSETRAIN-BLIND-20260704T023154Z,ATTACK_A_BURST_PULSETRAIN_BLIND,ricxapp-kpimon-go-59f56d57f9-9dpq5,67b8a2bb-89c7-4806-ad83-34da70b4cbe8,041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978,27822,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod67b8a2bb_89c7_4806_ad83_34da70b4cbe8.slice/cri-containerd-041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978.scope,1.124,0.000000,20475904,,0,604.792,911.687,0.000,0.000,0,0,26,394483860,30711,18922,1480401383,57262080,36786176,4555798,5282492,40968192,790528,3,105,0.000000,0,0.000000,105,0.000000,105,0.000000,8495,0.999656,0.000,73.849,73.846,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3577839616,454672384,0,0,memory_slope_warmup
2026-07-04T02:32:02.579+00:00,1783132322577696155,4,4.002761,1.001310,2.761,1,A-BURST-PULSETRAIN-BLIND-20260704T023154Z,ATTACK_A_BURST_PULSETRAIN_BLIND,ricxapp-kpimon-go-59f56d57f9-9dpq5,67b8a2bb-89c7-4806-ad83-34da70b4cbe8,041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978,27822,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod67b8a2bb_89c7_4806_ad83_34da70b4cbe8.slice/cri-containerd-041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978.scope,0.883,0.000000,20480000,,0,604.209,910.807,0.000,0.000,0,0,26,394484744,30711,18922,1480401383,57266176,36786176,4556403,5283404,40968192,790528,3,105,0.000000,0,0.000000,105,0.000000,105,0.000000,8496,0.998692,0.000,74.851,74.848,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3938643968,454668288,0,0,memory_slope_warmup
2026-07-04T02:32:03.580+00:00,1783132323577882536,5,5.002947,1.000186,2.947,1,A-BURST-PULSETRAIN-BLIND-20260704T023154Z,ATTACK_A_BURST_PULSETRAIN_BLIND,ricxapp-kpimon-go-59f56d57f9-9dpq5,67b8a2bb-89c7-4806-ad83-34da70b4cbe8,041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978,27822,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod67b8a2bb_89c7_4806_ad83_34da70b4cbe8.slice/cri-containerd-041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978.scope,2.904,0.000000,20480000,,0,4828.102,911.830,0.000,0.000,0,0,26,394487649,30716,18922,1480401383,57266176,36786176,4561232,5284316,40968192,790528,3,105,0.000000,0,0.000000,105,0.000000,105,0.000000,8497,0.999814,0.000,75.851,75.848,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3566886912,454668288,0,0,memory_slope_warmup
2026-07-04T02:32:04.577+00:00,1783132324576263292,6,6.001328,0.998381,1.328,1,A-BURST-PULSETRAIN-BLIND-20260704T023154Z,ATTACK_A_BURST_PULSETRAIN_BLIND,ricxapp-kpimon-go-59f56d57f9-9dpq5,67b8a2bb-89c7-4806-ad83-34da70b4cbe8,041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978,27822,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod67b8a2bb_89c7_4806_ad83_34da70b4cbe8.slice/cri-containerd-041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978.scope,2.636,0.000000,20746240,,0,5035.152,1111.800,0.000,0.000,0,0,26,394490281,30720,18922,1480401383,57524224,36777984,4566259,5285426,40968192,790528,3,105,0.000000,0,0.000000,105,0.000000,105,0.000000,8498,1.001622,0.000,76.849,76.846,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3940892672,454664192,0,0,memory_slope_warmup
2026-07-04T02:32:05.588+00:00,1783132325586502782,7,7.011566,1.010238,11.566,1,A-BURST-PULSETRAIN-BLIND-20260704T023154Z,ATTACK_A_BURST_PULSETRAIN_BLIND,ricxapp-kpimon-go-59f56d57f9-9dpq5,67b8a2bb-89c7-4806-ad83-34da70b4cbe8,041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978,27822,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod67b8a2bb_89c7_4806_ad83_34da70b4cbe8.slice/cri-containerd-041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978.scope,0.816,0.000000,20492288,,0,598.869,902.757,0.000,0.000,0,0,26,394491105,30720,18922,1480401383,57270272,36777984,4566864,5286338,40968192,790528,3,105,0.000000,0,0.000000,105,0.000000,105,0.000000,8499,0.989866,0.000,77.859,77.856,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3924037632,454664192,0,0,memory_slope_warmup
2026-07-04T02:32:06.580+00:00,1783132326578049893,8,8.003114,0.991548,3.114,1,A-BURST-PULSETRAIN-BLIND-20260704T023154Z,ATTACK_A_BURST_PULSETRAIN_BLIND,ricxapp-kpimon-go-59f56d57f9-9dpq5,67b8a2bb-89c7-4806-ad83-34da70b4cbe8,041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978,27822,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod67b8a2bb_89c7_4806_ad83_34da70b4cbe8.slice/cri-containerd-041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978.scope,1.196,0.000000,20484096,,0,610.157,919.774,0.000,0.000,0,0,26,394492291,30722,18922,1480401383,57270272,36786176,4567469,5287250,40968192,790528,3,105,0.000000,0,0.000000,105,0.000000,105,0.000000,8500,1.008524,0.000,78.851,78.848,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3958960128,454664192,0,0,memory_slope_warmup
2026-07-04T02:32:07.579+00:00,1783132327577780210,9,9.002845,0.999730,2.845,1,A-BURST-PULSETRAIN-BLIND-20260704T023154Z,ATTACK_A_BURST_PULSETRAIN_BLIND,ricxapp-kpimon-go-59f56d57f9-9dpq5,67b8a2bb-89c7-4806-ad83-34da70b4cbe8,041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978,27822,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod67b8a2bb_89c7_4806_ad83_34da70b4cbe8.slice/cri-containerd-041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978.scope,1.322,0.000000,20484096,,0,605.163,912.246,0.000,0.000,0,0,26,394493613,30724,18922,1480401383,57270272,36786176,4568074,5288162,40968192,790528,3,105,0.000000,0,0.000000,105,0.000000,105,0.000000,8501,1.000270,0.000,79.851,79.848,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3944800256,454664192,0,0,memory_slope_warmup
2026-07-04T02:32:08.581+00:00,1783132328580154295,10,10.005219,1.002374,5.219,1,A-BURST-PULSETRAIN-BLIND-20260704T023154Z,ATTACK_A_BURST_PULSETRAIN_BLIND,ricxapp-kpimon-go-59f56d57f9-9dpq5,67b8a2bb-89c7-4806-ad83-34da70b4cbe8,041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978,27822,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod67b8a2bb_89c7_4806_ad83_34da70b4cbe8.slice/cri-containerd-041e8001fe5545d3f41f6c6092df319807bc39abe52cdad83d81833590d01978.scope,2.797,0.000000,20492288,,0,1745.855,1637.113,0.000,0.000,0,0,26,394496417,30727,18922,1480401383,57278464,36786176,4569824,5289803,40968192,790528,3,106,0.997631,0,0.000000,106,0.997631,106,0.997631,8502,0.997631,0.000,0.852,0.852,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3842379776,454664192,0,0,memory_slope_warmup
