elapsed_s,utc,m1_cpu_usage_mcpu,m3_memory_working_set_bytes,m4_memory_growth_bytes_per_s,m5_disk_read_bytes,m6_disk_write_bytes
.007,2026-07-03T16:51:59Z,0,0,0,0,0
1.125,2026-07-03T16:52:00Z,0,0,0,0,0
2.226,2026-07-03T16:52:01Z,0,0,0,0,0
3.300,2026-07-03T16:52:02Z,0,0,0,0,0
4.439,2026-07-03T16:52:03Z,0,0,0,0,0
5.519,2026-07-03T16:52:04Z,0,0,0,0,0
6.591,2026-07-03T16:52:05Z,0,0,0,0,0
7.686,2026-07-03T16:52:06Z,0,0,0,0,0
8.806,2026-07-03T16:52:08Z,0,0,0,0,0
9.880,2026-07-03T16:52:09Z,0,0,0,0,0
10.953,2026-07-03T16:52:10Z,0,0,0,0,0
12.033,2026-07-03T16:52:11Z,0,0,0,0,0
13.121,2026-07-03T16:52:12Z,0,0,0,0,0
14.221,2026-07-03T16:52:13Z,0,0,0,0,0
15.303,2026-07-03T16:52:14Z,0,0,0,0,0
16.370,2026-07-03T16:52:15Z,0,0,0,0,0
17.441,2026-07-03T16:52:16Z,0,0,0,0,0
18.556,2026-07-03T16:52:17Z,0,0,0,0,0
19.620,2026-07-03T16:52:18Z,0,0,0,0,0
20.708,2026-07-03T16:52:19Z,0,0,0,0,0
21.787,2026-07-03T16:52:20Z,0,0,0,0,0
22.863,2026-07-03T16:52:22Z,0,0,0,0,0
23.927,2026-07-03T16:52:23Z,0,0,0,0,0
25.006,2026-07-03T16:52:24Z,0,0,0,0,0
26.103,2026-07-03T16:52:25Z,0,0,0,0,0
27.235,2026-07-03T16:52:26Z,0,0,0,0,0
28.364,2026-07-03T16:52:27Z,0,0,0,0,0
29.440,2026-07-03T16:52:28Z,0,0,0,0,0
30.526,2026-07-03T16:52:29Z,0,0,0,0,0
31.621,2026-07-03T16:52:30Z,0,0,0,0,0
32.698,2026-07-03T16:52:31Z,0,0,0,0,0
33.809,2026-07-03T16:52:33Z,0,0,0,0,0
34.905,2026-07-03T16:52:34Z,0,0,0,0,0
35.989,2026-07-03T16:52:35Z,0,0,0,0,0
37.090,2026-07-03T16:52:36Z,0,0,0,0,0
38.167,2026-07-03T16:52:37Z,0,0,0,0,0
39.274,2026-07-03T16:52:38Z,0,0,0,0,0
40.373,2026-07-03T16:52:39Z,0,0,0,0,0
41.461,2026-07-03T16:52:40Z,0,0,0,0,0
42.550,2026-07-03T16:52:41Z,0,0,0,0,0
43.631,2026-07-03T16:52:42Z,0,0,0,0,0
44.717,2026-07-03T16:52:43Z,0,0,0,0,0
45.786,2026-07-03T16:52:44Z,0,0,0,0,0
46.889,2026-07-03T16:52:46Z,0,0,0,0,0
47.986,2026-07-03T16:52:47Z,0,0,0,0,0
49.077,2026-07-03T16:52:48Z,0,0,0,0,0
50.202,2026-07-03T16:52:49Z,0,0,0,0,0
51.280,2026-07-03T16:52:50Z,0,0,0,0,0
52.361,2026-07-03T16:52:51Z,0,0,0,0,0
53.489,2026-07-03T16:52:52Z,0,0,0,0,0
54.640,2026-07-03T16:52:53Z,0,0,0,0,0
55.735,2026-07-03T16:52:54Z,0,0,0,0,0
56.817,2026-07-03T16:52:56Z,0,0,0,0,0
57.897,2026-07-03T16:52:57Z,0,0,0,0,0
59.030,2026-07-03T16:52:58Z,0,0,0,0,0
60.184,2026-07-03T16:52:59Z,0,0,0,0,0
61.296,2026-07-03T16:53:00Z,0,0,0,0,0
62.384,2026-07-03T16:53:01Z,0,0,0,0,0
63.534,2026-07-03T16:53:02Z,0,0,0,0,0
64.649,2026-07-03T16:53:03Z,0,0,0,0,0
65.741,2026-07-03T16:53:04Z,0,0,0,0,0
66.864,2026-07-03T16:53:06Z,0,0,0,0,0
67.965,2026-07-03T16:53:07Z,0,0,0,0,0
69.078,2026-07-03T16:53:08Z,0,0,0,0,0
70.168,2026-07-03T16:53:09Z,0,0,0,0,0
71.240,2026-07-03T16:53:10Z,0,0,0,0,0
72.340,2026-07-03T16:53:11Z,0,0,0,0,0
73.449,2026-07-03T16:53:12Z,0,0,0,0,0
74.542,2026-07-03T16:53:13Z,0,0,0,0,0
