timestamp_utc,timestamp_unix_ns,sample_index,elapsed_s,sample_interval_s,sample_lag_ms,timing_ok,run_id,profile,pod_name,pod_uid,container_id,host_pid,cgroup_path,m1_cpu_millicores,m2_cpu_throttle_ratio,m3_memory_working_set_bytes,m4_memory_growth_bytes_per_s,m4_memory_slope_ready,m5_network_rx_bytes_per_s,m6_network_tx_bytes_per_s,m7_filesystem_read_bytes_per_s,m8_filesystem_write_bytes_per_s,m9_socket_count,m10_fd_count,m11_thread_count,cpu_usage_usec_total,cpu_nr_periods_total,cpu_nr_throttled_total,cpu_throttled_usec_total,memory_current_bytes,memory_inactive_file_bytes,network_rx_bytes_total,network_tx_bytes_total,filesystem_read_bytes_total,filesystem_write_bytes_total,process_count,rmr_rx_total,rmr_rx_per_s,rmr_tx_total,rmr_tx_per_s,ric_indication_total,ric_indication_per_s,work_units_total,work_units_per_s,heartbeat_total,heartbeat_per_s,heartbeat_stall_age_s,last_rmr_rx_age_s,last_work_age_s,rmr_tx_status,metrics_endpoint_ok,metrics_endpoint_error,cpu_limit_enabled,cpu_quota_us,cpu_period_us,memory_limit_enabled,memory_limit_bytes,host_mem_available_bytes,host_swap_used_bytes,resource_counter_reset,runtime_counter_reset,sample_quality
2026-07-03T12:16:13.565+00:00,1783080973563034086,1,1.002243,1.002243,2.243,1,R1-CPU-BOUNDED-FRESH-BLIND-20260703T121547Z,ATTACK_R1_CPU_BOUNDED_FRESH_BLIND,ricxapp-kpimon-go-5cc4c98fdb-th7k9,78f283c0-d78d-49c2-b406-dd866dc3d69f,6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c,123944,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod78f283c0_d78d_49c2_b406_dd866dc3d69f.slice/cri-containerd-6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c.scope,2.164,0.000000,25694208,,0,668.501,967.829,0.000,0.000,0,0,26,1216967,367,42,2818341,49090560,23396352,73240,49426,34684928,4096,3,2,0.000000,0,0.000000,2,0.000000,2,0.000000,268,0.997762,0.000,76.444,76.444,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3327643648,299237376,0,0,memory_slope_warmup
2026-07-03T12:16:14.566+00:00,1783080974563950070,2,2.003158,1.000915,3.158,1,R1-CPU-BOUNDED-FRESH-BLIND-20260703T121547Z,ATTACK_R1_CPU_BOUNDED_FRESH_BLIND,ricxapp-kpimon-go-5cc4c98fdb-th7k9,78f283c0-d78d-49c2-b406-dd866dc3d69f,6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c,123944,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod78f283c0_d78d_49c2_b406_dd866dc3d69f.slice/cri-containerd-6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c.scope,1.488,0.000000,25694208,,0,537.508,837.234,0.000,0.000,0,0,26,1218456,369,42,2818341,49090560,23396352,73778,50264,34684928,4096,3,2,0.000000,0,0.000000,2,0.000000,2,0.000000,269,0.999085,0.000,77.445,77.445,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3304951808,299913216,0,0,memory_slope_warmup
2026-07-03T12:16:15.564+00:00,1783080975563095242,3,3.002304,0.999146,2.304,1,R1-CPU-BOUNDED-FRESH-BLIND-20260703T121547Z,ATTACK_R1_CPU_BOUNDED_FRESH_BLIND,ricxapp-kpimon-go-5cc4c98fdb-th7k9,78f283c0-d78d-49c2-b406-dd866dc3d69f,6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c,123944,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod78f283c0_d78d_49c2_b406_dd866dc3d69f.slice/cri-containerd-6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c.scope,2.284,0.000000,25698304,,0,1064.909,1237.056,0.000,0.000,0,0,26,1220738,373,42,2818341,49094656,23396352,74842,51500,34684928,4096,3,2,0.000000,0,0.000000,2,0.000000,2,0.000000,270,1.000855,0.000,78.444,78.444,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3311472640,299913216,0,0,memory_slope_warmup
2026-07-03T12:16:16.564+00:00,1783080976563035528,4,4.002244,0.999940,2.244,1,R1-CPU-BOUNDED-FRESH-BLIND-20260703T121547Z,ATTACK_R1_CPU_BOUNDED_FRESH_BLIND,ricxapp-kpimon-go-5cc4c98fdb-th7k9,78f283c0-d78d-49c2-b406-dd866dc3d69f,6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c,123944,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod78f283c0_d78d_49c2_b406_dd866dc3d69f.slice/cri-containerd-6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c.scope,1.260,0.000000,25702400,,0,538.032,838.050,0.000,0.000,0,0,26,1221998,375,42,2818341,49098752,23396352,75380,52338,34684928,4096,3,2,0.000000,0,0.000000,2,0.000000,2,0.000000,271,1.000060,0.000,79.444,79.444,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3301007360,299909120,0,0,memory_slope_warmup
2026-07-03T12:16:17.565+00:00,1783080977563398072,5,5.002606,1.000362,2.606,1,R1-CPU-BOUNDED-FRESH-BLIND-20260703T121547Z,ATTACK_R1_CPU_BOUNDED_FRESH_BLIND,ricxapp-kpimon-go-5cc4c98fdb-th7k9,78f283c0-d78d-49c2-b406-dd866dc3d69f,6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c,123944,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod78f283c0_d78d_49c2_b406_dd866dc3d69f.slice/cri-containerd-6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c.scope,3.905,0.000000,26050560,,0,1748.367,1632.409,0.000,0.000,0,0,26,1225904,377,42,2818341,49446912,23396352,77129,53971,34684928,4096,3,3,0.999638,0,0.000000,3,0.999638,3,0.999638,272,0.999638,0.000,0.444,0.443,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3304472576,299909120,0,0,memory_slope_warmup
2026-07-03T12:16:18.565+00:00,1783080978562947545,6,6.002156,0.999550,2.156,1,R1-CPU-BOUNDED-FRESH-BLIND-20260703T121547Z,ATTACK_R1_CPU_BOUNDED_FRESH_BLIND,ricxapp-kpimon-go-5cc4c98fdb-th7k9,78f283c0-d78d-49c2-b406-dd866dc3d69f,6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c,123944,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod78f283c0_d78d_49c2_b406_dd866dc3d69f.slice/cri-containerd-6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c.scope,1.511,0.000000,25792512,,0,538.242,837.377,0.000,0.000,0,0,26,1227414,379,42,2818341,49188864,23396352,77667,54808,34684928,4096,3,3,0.000000,0,0.000000,3,0.000000,3,0.000000,273,1.000450,0.000,1.443,1.443,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3323174912,300208128,0,0,memory_slope_warmup
2026-07-03T12:16:19.563+00:00,1783080979562390180,7,7.001599,0.999442,1.599,1,R1-CPU-BOUNDED-FRESH-BLIND-20260703T121547Z,ATTACK_R1_CPU_BOUNDED_FRESH_BLIND,ricxapp-kpimon-go-5cc4c98fdb-th7k9,78f283c0-d78d-49c2-b406-dd866dc3d69f,6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c,123944,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod78f283c0_d78d_49c2_b406_dd866dc3d69f.slice/cri-containerd-6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c.scope,1.345,0.000000,25792512,,0,538.300,838.467,0.000,0.000,0,0,26,1228758,381,42,2818341,49188864,23396352,78205,55646,34684928,4096,3,3,0.000000,0,0.000000,3,0.000000,3,0.000000,274,1.000558,0.000,2.443,2.442,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3352850432,300208128,0,0,memory_slope_warmup
2026-07-03T12:16:20.564+00:00,1783080980563339117,8,8.002547,1.000949,2.547,1,R1-CPU-BOUNDED-FRESH-BLIND-20260703T121547Z,ATTACK_R1_CPU_BOUNDED_FRESH_BLIND,ricxapp-kpimon-go-5cc4c98fdb-th7k9,78f283c0-d78d-49c2-b406-dd866dc3d69f,6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c,123944,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod78f283c0_d78d_49c2_b406_dd866dc3d69f.slice/cri-containerd-6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c.scope,2.077,0.000000,25808896,,0,1062.992,1234.829,0.000,0.000,0,0,26,1230837,383,42,2818341,49205248,23396352,79269,56882,34684928,4096,3,3,0.000000,0,0.000000,3,0.000000,3,0.000000,275,0.999052,0.000,3.444,3.443,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3341434880,300208128,0,0,memory_slope_warmup
2026-07-03T12:16:21.564+00:00,1783080981562127413,9,9.001336,0.998789,1.336,1,R1-CPU-BOUNDED-FRESH-BLIND-20260703T121547Z,ATTACK_R1_CPU_BOUNDED_FRESH_BLIND,ricxapp-kpimon-go-5cc4c98fdb-th7k9,78f283c0-d78d-49c2-b406-dd866dc3d69f,6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c,123944,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod78f283c0_d78d_49c2_b406_dd866dc3d69f.slice/cri-containerd-6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c.scope,1.049,0.000000,25804800,,0,538.652,839.016,0.000,0.000,0,0,26,1231885,387,42,2818341,49201152,23396352,79807,57720,34684928,4096,3,3,0.000000,0,0.000000,3,0.000000,3,0.000000,276,1.001213,0.000,4.443,4.442,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3317944320,300208128,0,0,memory_slope_warmup
2026-07-03T12:16:22.568+00:00,1783080982563922309,10,10.003131,1.001795,3.131,1,R1-CPU-BOUNDED-FRESH-BLIND-20260703T121547Z,ATTACK_R1_CPU_BOUNDED_FRESH_BLIND,ricxapp-kpimon-go-5cc4c98fdb-th7k9,78f283c0-d78d-49c2-b406-dd866dc3d69f,6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c,123944,/sys/fs/cgroup/kubepods.slice/kubepods-burstable.slice/kubepods-burstable-pod78f283c0_d78d_49c2_b406_dd866dc3d69f.slice/cri-containerd-6fc19d9d48bbda16af9004ab71b34d77694409d0c826dca7c9e9f297494cf15c.scope,1.141,0.000000,25796608,,0,537.036,836.499,0.000,0.000,0,0,26,1233028,389,42,2818341,49192960,23396352,80345,58558,34684928,4096,3,3,0.000000,0,0.000000,3,0.000000,3,0.000000,277,0.998209,0.000,5.444,5.444,no_normal_outbound_rmr_path,1,,1,20000,100000,1,67108864,3331096576,300793856,0,0,memory_slope_warmup
