workloads,repetition,seed,logical_second,updates,ready_outputs,suspicious_outputs,cycle_latency_ms,deadline_ms,deadline_missed,score_checksum
1,1,20261808,1,1,0,0,0.13662,1000.0,0,0.000000000000
1,1,20261808,2,1,0,0,0.043636,1000.0,0,0.000000000000
1,1,20261808,3,1,0,0,0.02572,1000.0,0,0.000000000000
1,1,20261808,4,1,0,0,0.016273,1000.0,0,0.000000000000
1,1,20261808,5,1,0,0,0.018795,1000.0,0,0.000000000000
1,1,20261808,6,1,0,0,0.013964,1000.0,0,0.000000000000
1,1,20261808,7,1,0,0,0.014748,1000.0,0,0.000000000000
1,1,20261808,8,1,0,0,0.111816,1000.0,0,0.000000000000
1,1,20261808,9,1,0,0,0.059197,1000.0,0,0.000000000000
1,1,20261808,10,1,0,0,0.038505,1000.0,0,0.000000000000
1,1,20261808,11,1,0,0,0.032471,1000.0,0,0.000000000000
1,1,20261808,12,1,0,0,0.034205,1000.0,0,0.000000000000
1,1,20261808,13,1,0,0,0.031147,1000.0,0,0.000000000000
1,1,20261808,14,1,0,0,0.031844,1000.0,0,0.000000000000
1,1,20261808,15,1,0,0,0.030872,1000.0,0,0.000000000000
1,1,20261808,16,1,0,0,0.027617,1000.0,0,0.000000000000
1,1,20261808,17,1,0,0,0.02721,1000.0,0,0.000000000000
1,1,20261808,18,1,0,0,0.026555,1000.0,0,0.000000000000
1,1,20261808,19,1,0,0,0.028598,1000.0,0,0.000000000000
1,1,20261808,20,1,0,0,0.029149,1000.0,0,0.000000000000
1,1,20261808,21,1,0,0,0.028177,1000.0,0,0.000000000000
1,1,20261808,22,1,0,0,0.02866,1000.0,0,0.000000000000
1,1,20261808,23,1,0,0,0.026874,1000.0,0,0.000000000000
1,1,20261808,24,1,0,0,0.02689,1000.0,0,0.000000000000
1,1,20261808,25,1,0,0,0.026828,1000.0,0,0.000000000000
1,1,20261808,26,1,0,0,0.025232,1000.0,0,0.000000000000
1,1,20261808,27,1,0,0,0.028001,1000.0,0,0.000000000000
1,1,20261808,28,1,1,0,0.054762,1000.0,0,0.980279539211
1,1,20261808,29,1,1,0,0.038866,1000.0,0,1.147251580517
1,1,20261808,30,1,1,0,0.035255,1000.0,0,1.123849182885
1,1,20261808,31,1,1,0,0.034085,1000.0,0,1.120096022994
1,1,20261808,32,1,1,0,0.033074,1000.0,0,1.128091650907
1,1,20261808,33,1,1,0,0.032538,1000.0,0,0.909661714620
1,1,20261808,34,1,1,0,0.035041,1000.0,0,0.776827192314
1,1,20261808,35,1,1,0,0.031666,1000.0,0,0.771428385458
1,1,20261808,36,1,1,0,0.040303,1000.0,0,0.796231713371
1,1,20261808,37,1,1,0,0.035944,1000.0,0,0.788418433381
1,1,20261808,38,1,1,0,0.032065,1000.0,0,0.765914983959
1,1,20261808,39,1,1,0,0.037324,1000.0,0,0.708427128595
1,1,20261808,40,1,1,0,0.033085,1000.0,0,0.631915467318
1,1,20261808,41,1,1,0,0.11038,1000.0,0,0.778443936524
1,1,20261808,42,1,1,0,0.035533,1000.0,0,0.994199069023
1,1,20261808,43,1,1,0,0.034225,1000.0,0,1.112962176900
1,1,20261808,44,1,1,0,0.032865,1000.0,0,1.297802570637
1,1,20261808,45,1,1,0,0.032782,1000.0,0,1.438559053086
1,1,20261808,46,1,1,0,0.034121,1000.0,0,1.581083054435
1,1,20261808,47,1,1,0,0.03004,1000.0,0,1.905515061819
1,1,20261808,48,1,1,0,0.029971,1000.0,0,2.202749473981
1,1,20261808,49,1,1,0,0.029613,1000.0,0,1.833951216943
1,1,20261808,50,1,1,0,0.031284,1000.0,0,1.573843500696
1,1,20261808,51,1,1,0,0.030308,1000.0,0,1.357465407426
1,1,20261808,52,1,1,0,0.030592,1000.0,0,1.819915125782
1,1,20261808,53,1,1,0,0.030774,1000.0,0,2.166567582634
1,1,20261808,54,1,1,0,0.031321,1000.0,0,2.480471476718
1,1,20261808,55,1,1,0,0.031695,1000.0,0,2.520927189866
1,1,20261808,56,1,1,0,0.029906,1000.0,0,2.867668060850
1,1,20261808,57,1,1,0,0.029698,1000.0,0,3.177415971420
1,1,20261808,58,1,1,0,0.031505,1000.0,0,3.439059589678
1,1,20261808,59,1,1,0,0.030808,1000.0,0,3.655880113912
1,1,20261808,60,1,1,0,0.031158,1000.0,0,2.601023094346
1,1,20261808,61,1,1,0,0.030695,1000.0,0,2.069928905850
1,1,20261808,62,1,1,0,0.030044,1000.0,0,1.693861746649
1,1,20261808,63,1,1,0,0.029807,1000.0,0,1.418737322360
1,1,20261808,64,1,1,0,0.02983,1000.0,0,5.039645502487
1,1,20261808,65,1,1,0,0.036859,1000.0,0,9.694138532441
1,1,20261808,66,1,1,0,0.033095,1000.0,0,14.502210420064
1,1,20261808,67,1,1,0,0.03853,1000.0,0,19.960901146658
1,1,20261808,68,1,1,0,0.034643,1000.0,0,25.128867559162
1,1,20261808,69,1,1,0,0.033068,1000.0,0,28.954936117415
1,1,20261808,70,1,1,0,0.036572,1000.0,0,32.169221938225
1,1,20261808,71,1,1,0,0.036364,1000.0,0,49.839578357235
1,1,20261808,72,1,1,0,0.031447,1000.0,0,51.282923667535
1,1,20261808,73,1,1,0,0.032976,1000.0,0,52.371918170832
1,1,20261808,74,1,1,0,0.032386,1000.0,0,53.242434489024
1,1,20261808,75,1,1,0,0.032032,1000.0,0,52.365486602837
1,1,20261808,76,1,1,0,0.030444,1000.0,0,51.589401907001
1,1,20261808,77,1,1,0,0.029843,1000.0,0,51.386792977405
1,1,20261808,78,1,1,0,0.031177,1000.0,0,51.173079953925
1,1,20261808,79,1,1,0,0.088785,1000.0,0,35.820846955256
1,1,20261808,80,1,1,0,0.040419,1000.0,0,23.297950606929
1,1,20261808,81,1,1,0,0.034079,1000.0,0,15.271321555535
1,1,20261808,82,1,1,0,0.035497,1000.0,0,10.252629290330
1,1,20261808,83,1,1,0,0.032408,1000.0,0,7.070035486509
1,1,20261808,84,1,1,0,0.030174,1000.0,0,4.938958112217
1,1,20261808,85,1,1,0,0.029973,1000.0,0,3.429410693536
1,1,20261808,86,1,1,0,0.029395,1000.0,0,2.028736059055
1,1,20261808,87,1,1,0,0.032053,1000.0,0,5.426501123628
1,1,20261808,88,1,1,0,0.031059,1000.0,0,10.124764034033
1,1,20261808,89,1,1,0,0.033518,1000.0,0,14.904932021260
1,1,20261808,90,1,1,0,0.031991,1000.0,0,19.157525239641
1,1,20261808,91,1,1,0,0.032482,1000.0,0,22.832138810367
1,1,20261808,92,1,1,0,0.034047,1000.0,0,25.996835606680
1,1,20261808,93,1,1,0,0.030497,1000.0,0,28.730633066800
1,1,20261808,94,1,1,0,0.030159,1000.0,0,40.419337930694
