schema,started_utc,finished_utc,workloads,repetition,seed,ticks,expected_updates,observed_updates,trace_accepted_rows,wall_time_s,cpu_time_s,throughput_updates_s,cpu_utilization_one_core_pct,rss_start_bytes,rss_end_bytes,rss_delta_bytes,cycle_latency_mean_ms,cycle_latency_median_ms,cycle_latency_p95_ms,cycle_latency_p99_ms,cycle_latency_max_ms,deadline_misses,deadline_miss_rate
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:39.826530+00:00,2026-08-07T08:58:39.996828+00:00,1,1,20261808,300,300,300,1772,0.012212665,0.012138297,24564.662995341314,99.39105838078748,37933056,38297600,364544,0.03890954,0.034839999999999996,0.060252350000000045,0.13136804999999993,0.22086,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:40.019172+00:00,2026-08-07T08:58:40.183278+00:00,1,2,20261809,300,300,300,1772,0.018668637,0.018609128,16069.732353786729,99.68123543245284,37933056,38297600,364544,0.057510689999999996,0.040537000000000004,0.13764530000000008,0.2765989299999998,1.248498,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:40.212103+00:00,2026-08-07T08:58:40.370389+00:00,1,3,20261810,300,300,300,1772,0.01244814,0.012307731,24099.986022008106,98.87204835421196,37937152,38305792,368640,0.03974145333333333,0.033666,0.04882850000000001,0.13923815,0.323586,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:40.391787+00:00,2026-08-07T08:58:40.691433+00:00,10,1,20270808,300,3000,3000,1772,0.142983659,0.142603819,20981.4185829445,99.73434726551514,37912576,38305792,393216,0.4690454833333334,0.40344,0.8651497500000004,1.3156469199999998,1.710784,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:40.711216+00:00,2026-08-07T08:58:41.075052+00:00,10,2,20270809,300,3000,3000,1772,0.208332684,0.206648295,14400.044882059889,99.1914907600384,37892096,38281216,389120,0.6825013000000001,0.5632649999999999,1.4024982000000001,1.928754379999997,2.490355,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:41.113857+00:00,2026-08-07T08:58:41.426765+00:00,10,3,20270810,300,3000,3000,1772,0.142517856,0.142006297,21049.993903921764,99.64105620561679,37904384,38293504,389120,0.46690724333333333,0.3972165,0.99937675,1.25059704,1.727948,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:41.450971+00:00,2026-08-07T08:58:41.877309+00:00,20,1,20280808,300,6000,6000,1772,0.271882422,0.270862386,22068.36306614923,99.62482458685763,37998592,38404096,405504,0.89482444,0.7724694999999999,1.6779558000000008,2.6542093899999997,3.260077,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:41.896940+00:00,2026-08-07T08:58:42.319186+00:00,20,2,20280809,300,6000,6000,1772,0.260842386,0.260425243,23002.396550689427,99.84007852159426,38027264,38432768,405504,0.8589514599999999,0.792992,1.4063564000000002,1.8158925699999997,2.326817,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:42.344100+00:00,2026-08-07T08:58:42.807166+00:00,20,3,20280810,300,6000,6000,1772,0.30977638,0.309282103,19368.810494847927,99.84044070758397,37933056,38338560,405504,1.0197975000000001,0.853647,1.9514500000000004,3.2299296799999992,4.254955,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:42.830237+00:00,2026-08-07T08:58:43.666289+00:00,50,1,20310808,300,15000,15000,1772,0.69342673,0.692872068,21631.70144883224,99.92001144807325,37937152,38420480,483328,2.292243673333333,1.9945735,4.505467800000001,5.552147329999995,6.208068,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:43.687802+00:00,2026-08-07T08:58:44.511782+00:00,50,2,20310809,300,15000,15000,1772,0.671582596,0.670472547,22335.30185168765,99.83471147009891,37863424,38346752,483328,2.2193352066666665,1.984084,3.5135227,5.094157669999997,7.246136,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:44.535885+00:00,2026-08-07T08:58:45.453506+00:00,50,3,20310810,300,15000,15000,1772,0.778271488,0.767144468,19273.48005327416,98.57029067985079,37896192,38379520,483328,2.574430733333333,2.042028,5.56554805,7.34591706,8.138489,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:45.490012+00:00,2026-08-07T08:58:46.784748+00:00,75,1,20335808,300,22500,22500,1772,1.108554164,1.104231596,20296.707847646496,99.61007155623295,37953536,38539264,585728,3.66896031,3.0279605,7.237995150000004,10.488580089999994,12.874423,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:46.826059+00:00,2026-08-07T08:58:48.122518+00:00,75,2,20335809,300,22500,22500,1772,1.117238822,1.111673014,20138.934985916556,99.50182468686181,38019072,38604800,585728,3.695171666666667,3.137327,7.05824465,8.886097,13.428084,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:48.142213+00:00,2026-08-07T08:58:49.366845+00:00,75,3,20335810,300,22500,22500,1772,1.069430588,1.06744836,21039.23363748036,99.81464640882331,37892096,38477824,585728,3.5395254833333336,3.180839,6.179213400000001,7.55984902,8.846046,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:49.435997+00:00,2026-08-07T08:58:50.944281+00:00,100,1,20360808,300,30000,30000,1772,1.364228244,1.361678269,21990.455139704613,99.81308296385043,37969920,38625280,655360,4.515487536666667,4.0445685000000005,7.684951350000001,9.989577919999997,11.088741,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:50.969631+00:00,2026-08-07T08:58:52.594927+00:00,100,2,20360809,300,30000,30000,1772,1.467615042,1.459004626,20441.327692524428,99.41330554991681,37990400,38645760,655360,4.85922978,4.425933499999999,8.016061700000002,10.45961099,15.216533,0,0.0
zt-xguard-detector-capacity-worker-v1,2026-08-07T08:58:52.618092+00:00,2026-08-07T08:58:54.287091+00:00,100,3,20360810,300,30000,30000,1772,1.47819276,1.47647719,20295.05272370567,99.88394138799597,38150144,38805504,655360,4.8933296466666665,4.2181085,9.297690150000001,11.44998158,11.865729,0,0.0
