workloads,repetition,virtual_xapp_id,updates,ready,normal,suspicious
1,1,virtual-xapp-000,300,273,300,0
1,2,virtual-xapp-000,300,273,300,0
1,3,virtual-xapp-000,300,273,300,0
10,1,virtual-xapp-000,300,273,300,0
10,1,virtual-xapp-001,300,273,300,0
10,1,virtual-xapp-002,300,273,300,0
10,1,virtual-xapp-003,300,273,300,0
10,1,virtual-xapp-004,300,273,300,0
10,1,virtual-xapp-005,300,273,300,0
10,1,virtual-xapp-006,300,273,300,0
10,1,virtual-xapp-007,300,273,300,0
10,1,virtual-xapp-008,300,273,300,0
10,1,virtual-xapp-009,300,273,300,0
10,2,virtual-xapp-000,300,273,300,0
10,2,virtual-xapp-001,300,273,300,0
10,2,virtual-xapp-002,300,273,300,0
10,2,virtual-xapp-003,300,273,300,0
10,2,virtual-xapp-004,300,273,300,0
10,2,virtual-xapp-005,300,273,300,0
10,2,virtual-xapp-006,300,273,300,0
10,2,virtual-xapp-007,300,273,300,0
10,2,virtual-xapp-008,300,273,300,0
10,2,virtual-xapp-009,300,273,300,0
10,3,virtual-xapp-000,300,273,300,0
10,3,virtual-xapp-001,300,273,300,0
10,3,virtual-xapp-002,300,273,300,0
10,3,virtual-xapp-003,300,273,300,0
10,3,virtual-xapp-004,300,273,300,0
10,3,virtual-xapp-005,300,273,300,0
10,3,virtual-xapp-006,300,273,300,0
10,3,virtual-xapp-007,300,273,300,0
10,3,virtual-xapp-008,300,273,300,0
10,3,virtual-xapp-009,300,273,300,0
20,1,virtual-xapp-000,300,273,300,0
20,1,virtual-xapp-001,300,273,300,0
20,1,virtual-xapp-002,300,273,300,0
20,1,virtual-xapp-003,300,273,300,0
20,1,virtual-xapp-004,300,273,300,0
20,1,virtual-xapp-005,300,273,300,0
20,1,virtual-xapp-006,300,273,300,0
20,1,virtual-xapp-007,300,273,300,0
20,1,virtual-xapp-008,300,273,300,0
20,1,virtual-xapp-009,300,273,300,0
20,1,virtual-xapp-010,300,273,300,0
20,1,virtual-xapp-011,300,273,300,0
20,1,virtual-xapp-012,300,273,300,0
20,1,virtual-xapp-013,300,273,300,0
20,1,virtual-xapp-014,300,273,300,0
20,1,virtual-xapp-015,300,273,300,0
20,1,virtual-xapp-016,300,273,300,0
20,1,virtual-xapp-017,300,273,300,0
