schema,started_utc,finished_utc,workloads,repetition,seed,warmup_ticks,measured_ticks,ticks,max_contexts,decision_equiv_ok,decision_mismatches,expected_updates,observed_updates,trace_accepted_rows,wall_time_s,cpu_time_s,throughput_updates_s,cpu_utilization_one_core_pct,rss_start_bytes,rss_end_bytes,rss_delta_bytes,cycle_latency_mean_ms,cycle_latency_median_ms,cycle_latency_p50_ms,cycle_latency_p95_ms,cycle_latency_p99_ms,cycle_latency_max_ms,deadline_misses,deadline_miss_rate
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:21:57.533999+00:00,2026-08-08T05:21:57.725440+00:00,1,1,20261808,8,300,300,80,True,0,308,308,1772,0.016056981,0.015534306,19181.68801470214,96.74487377172584,38203392,38572032,368640,0.04870092,0.037497,0.037497,0.11670780000000001,0.17414419999999953,0.466881,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:21:57.752203+00:00,2026-08-08T05:21:57.930146+00:00,1,2,20261809,8,300,300,80,True,0,308,308,1772,0.014024985,0.014030278,21960.807801220464,100.03773979080904,38199296,38567936,368640,0.04289212333333334,0.038276500000000005,0.038276500000000005,0.054588850000000085,0.12979266999999992,0.259043,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:21:57.957215+00:00,2026-08-08T05:21:58.130756+00:00,1,3,20261810,8,300,300,80,True,0,308,308,1772,0.015504772,0.015484328,19864.851930747514,99.86814382049604,38211584,38580224,368640,0.046988583333333334,0.0416455,0.0416455,0.0734861,0.10374107999999997,0.13075,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:21:58.149601+00:00,2026-08-08T05:21:58.410561+00:00,1,4,20261811,8,300,300,80,True,0,308,308,1772,0.015211696,0.015151577,20247.5779163612,99.60478437118385,38244352,38608896,364544,0.04698275666666667,0.0357465,0.0357465,0.07524595000000016,0.17278403999999933,0.682474,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:21:58.432513+00:00,2026-08-08T05:21:58.628040+00:00,1,5,20261812,8,300,300,80,True,0,308,308,1772,0.013583523,0.013588361,22674.53001699191,100.03561668059163,38260736,38629376,368640,0.04171972333333333,0.037188,0.037188,0.0546532,0.08907021999999999,0.09682,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:21:58.649351+00:00,2026-08-08T05:21:58.887303+00:00,2,1,20262808,8,300,300,80,True,0,616,616,1772,0.034745559,0.034751319,17728.88443095706,100.01657765816921,38162432,38547456,385024,0.10931531,0.104459,0.104459,0.1767285,0.24717773999999892,0.582507,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:21:58.917128+00:00,2026-08-08T05:21:59.139346+00:00,2,2,20262809,8,300,300,80,True,0,616,616,1772,0.037745958,0.037640724,16319.628183764735,99.72120458566715,38322176,38707200,385024,0.11944334333333333,0.11024300000000001,0.11024300000000001,0.19877270000000005,0.29249493,0.962139,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:21:59.161700+00:00,2026-08-08T05:21:59.376777+00:00,2,3,20262810,8,300,300,80,True,0,616,616,1772,0.034564844,0.034539042,17821.576165655486,99.92535189801522,38199296,38567936,368640,0.10785496666666666,0.09061050000000001,0.09061050000000001,0.16609155,0.22074939999999982,0.301612,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:21:59.418847+00:00,2026-08-08T05:21:59.736519+00:00,2,4,20262811,8,300,300,80,True,0,616,616,1772,0.051975293,0.051982733,11851.7850394802,100.01431449361911,38260736,38629376,368640,0.16324858666666667,0.0989505,0.0989505,0.40087770000000006,0.4865971499999997,0.648474,0,0.0
zt-xguard-detector-capacity-worker-v2,2026-08-08T05:21:59.785950+00:00,2026-08-08T05:22:00.092970+00:00,2,5,20262812,8,300,300,80,True,0,616,616,1772,0.043904768,0.043440098,14030.366815740834,98.94164114476132,38047744,38416384,368640,0.13695811,0.0934365,0.0934365,0.2744524000000001,0.39030931999999974,0.544315,0,0.0
