workloads,repetition,duration_s,offered_rate_requests_s,expected_requests,observed_requests,valid_responses,invalid_responses,error_rate,deadline_misses,deadline_miss_rate,send_lag_p95_ms,service_latency_mean_ms,service_latency_p50_ms,service_latency_p95_ms,service_latency_p99_ms,service_latency_max_ms,end_to_end_p95_ms,end_to_end_p99_ms,drain_wall_s,achieved_completion_rate_requests_s,evaluator_cpu_time_s,evaluator_mean_cpu_cores,evaluator_throttled_time_s,evaluator_throttle_events,evaluator_memory_before_bytes,evaluator_memory_after_bytes,client_cpu_time_s,pod_uid,pod_restart_count
1,1,20,1,20,20,20,0,0.0,0,0.0,0.7971455000000003,42.53918335,39.002427499999996,75.23179310000002,82.01617781999998,83.712274,75.7683231,82.33673101999999,19.037312708,1.0505684445470842,0.84768,0.044527292953683614,0.0,0,124321792,124399616,0.023945308,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
2,1,20,2,40,40,40,0,0.0,0,0.0,1.336324499999999,56.473234549999994,54.5343665,75.16467314999997,87.32749327,87.567034,75.96072859999997,87.74376858000001,19.06940781,2.097600533721031,1.520392,0.07972937676662964,0.0,0,124383232,124284928,0.045914514,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
3,1,20,3,60,60,60,0,0.0,0,0.0,1.6889698499999999,73.13056373333333,72.754008,93.13483049999999,111.92839409999992,125.901311,93.9073851,112.97358138999992,19.080494511,3.144572587749741,2.408549,0.12623095269420084,0.0,0,124411904,124624896,0.062045901,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
4,1,20,4,80,80,80,0,0.0,0,0.0,2.4366070499999997,90.23869415,89.3324425,116.3132624,122.1166459299999,133.73457,117.90536055,123.8168209599999,19.115090315,4.185175098922885,2.554793,0.13365320058128116,0.246093,10,124538880,124751872,0.088255071,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
5,1,20,5,100,100,100,0,0.0,0,0.0,2.4666132999999992,119.6996299,121.5962915,152.89210594999997,158.24878459,158.651476,153.7996454,159.02353609000002,19.125816679,5.2285349001488255,3.422001,0.1789205165684418,0.272304,14,124633088,125132800,0.105984449,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
10,1,20,10,200,200,200,0,0.0,0,0.0,5.7612418,248.05853143000002,246.238764,344.55424194999995,368.65077794999996,380.735149,347.5646659,373.01295067999996,19.244944652,10.392339578862615,6.517037,0.3386363077600604,0.214198,16,124506112,127590400,0.221366861,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
20,1,20,20,400,400,400,0,0.0,0,0.0,17.71466264999996,439.290638965,454.11760300000003,656.1477356999997,784.61233707,823.255784,666.6556126999998,794.3826544899999,19.481545066,20.532252377564067,12.237659,0.6281667577464208,0.452787,52,125521920,127848448,0.435808574,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
25,1,20,25,500,500,500,0,0.0,36,0.072,19.61819034999999,627.1635818679999,599.201,1119.1542783999994,1867.5529496799998,1989.958607,1141.8069281499993,1889.5164941799997,19.816939407,25.230939537685796,16.532766,0.8342744386734148,1.051653,108,128004096,129122304,0.629990614,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
30,1,20,30,600,600,600,0,0.0,537,0.895,41.961842949999976,2828.9665761399997,2724.91147,5551.401710549995,6308.68902201,8004.374386,5555.178232549995,6310.3559877,20.785467298,28.866322387552607,21.17492,1.018736778751059,1.83299,189,128786432,138555392,0.906713299,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
35,1,20,35,700,700,700,0,0.0,562,0.8028571428571428,36.357529649999954,3359.832289534286,3296.4124275,7063.7177922,8515.202389489996,9920.622287,7081.991933899999,8533.894099249996,21.933165559,31.9151377450285,22.421466,1.0222631083363902,3.033622,210,139247616,141697024,1.007518487,1844ba04-d9a8-4f1b-b280-953d6cd11064,0
