workloads,repetition,xapp,expected_requests,observed_requests,valid_responses,deadline_misses,end_to_end_mean_ms
1,1,scale-n001-x000,20,20,20,0,43.1153354
2,1,scale-n002-x000,20,20,20,0,57.383800900000004
2,1,scale-n002-x001,20,20,20,0,57.0268198
3,1,scale-n003-x000,20,20,20,0,71.8090158
3,1,scale-n003-x001,20,20,20,0,75.20655915
3,1,scale-n003-x002,20,20,20,0,75.2632199
4,1,scale-n004-x000,20,20,20,0,89.7036712
4,1,scale-n004-x001,20,20,20,0,89.80281199999999
4,1,scale-n004-x002,20,20,20,0,91.8010879
4,1,scale-n004-x003,20,20,20,0,94.7422337
5,1,scale-n005-x000,20,20,20,0,116.7602523
5,1,scale-n005-x001,20,20,20,0,119.17236399999999
5,1,scale-n005-x002,20,20,20,0,122.58126315
5,1,scale-n005-x003,20,20,20,0,123.6068874
5,1,scale-n005-x004,20,20,20,0,124.3408077
10,1,scale-n010-x000,20,20,20,0,235.20379280000003
10,1,scale-n010-x001,20,20,20,0,247.92276090000001
10,1,scale-n010-x002,20,20,20,0,229.80677485
10,1,scale-n010-x003,20,20,20,0,231.45057725
10,1,scale-n010-x004,20,20,20,0,247.9485312
10,1,scale-n010-x005,20,20,20,0,248.40030674999997
10,1,scale-n010-x006,20,20,20,0,260.3626015
10,1,scale-n010-x007,20,20,20,0,265.041997
10,1,scale-n010-x008,20,20,20,0,266.42646175
10,1,scale-n010-x009,20,20,20,0,273.93225954999997
20,1,scale-n020-x000,20,20,20,0,298.50113995000004
20,1,scale-n020-x001,20,20,20,0,329.6345066
20,1,scale-n020-x002,20,20,20,0,325.64377375
20,1,scale-n020-x003,20,20,20,0,348.9303443
20,1,scale-n020-x004,20,20,20,0,351.88651405
20,1,scale-n020-x005,20,20,20,0,345.6824635
20,1,scale-n020-x006,20,20,20,0,393.36224345
20,1,scale-n020-x007,20,20,20,0,400.3312844
20,1,scale-n020-x008,20,20,20,0,444.07516210000006
20,1,scale-n020-x009,20,20,20,0,445.2300435
20,1,scale-n020-x010,20,20,20,0,459.9294358
20,1,scale-n020-x011,20,20,20,0,458.92306070000006
20,1,scale-n020-x012,20,20,20,0,499.77500945
20,1,scale-n020-x013,20,20,20,0,519.78986435
20,1,scale-n020-x014,20,20,20,0,524.10731635
20,1,scale-n020-x015,20,20,20,0,546.6469877000001
20,1,scale-n020-x016,20,20,20,0,551.9711952
20,1,scale-n020-x017,20,20,20,0,556.8818472
20,1,scale-n020-x018,20,20,20,0,565.6297252
20,1,scale-n020-x019,20,20,20,0,562.51427
25,1,scale-n025-x000,20,20,20,1,367.77304665
25,1,scale-n025-x001,20,20,20,1,389.7341703
25,1,scale-n025-x002,20,20,20,1,383.23142870000004
25,1,scale-n025-x003,20,20,20,1,415.39462764999996
25,1,scale-n025-x004,20,20,20,0,399.85005
25,1,scale-n025-x005,20,20,20,1,505.7851415
25,1,scale-n025-x006,20,20,20,1,468.7649303
25,1,scale-n025-x007,20,20,20,1,514.75334985
25,1,scale-n025-x008,20,20,20,1,517.6791375
25,1,scale-n025-x009,20,20,20,0,539.03570245
25,1,scale-n025-x010,20,20,20,1,600.75455195
25,1,scale-n025-x011,20,20,20,1,632.42819275
25,1,scale-n025-x012,20,20,20,2,705.2702901
25,1,scale-n025-x013,20,20,20,1,659.19038405
25,1,scale-n025-x014,20,20,20,0,662.6287975500001
25,1,scale-n025-x015,20,20,20,1,679.5169767
25,1,scale-n025-x016,20,20,20,3,802.18307625
25,1,scale-n025-x017,20,20,20,2,769.4604725500001
25,1,scale-n025-x018,20,20,20,2,753.3949283
25,1,scale-n025-x019,20,20,20,3,849.8140332
25,1,scale-n025-x020,20,20,20,3,842.317182
