trial_id,round,K,target_set,launch_skew_ms,T_detect_all,T_identity_all,T_policy_all,T_service_all,T_nodefilter_all,T_all_isolated,all_targets_contained,all_nontargets_reachable,validity,trial_success
1,1,3,ricxapp-hw-go|ricxapp-hw-python|ricxapp-kpimon-go,0.421,,6942.838,5183.978,6113.715,7214.801,7312.776,1,1,VALID,1
2,1,4,ricxapp-hw-go|ricxapp-hw-python|ricxapp-kpimon-go|ricxapp-trafficxapp,1.147,,9270.615,8111.94,8111.94,9387.252,9516.396,1,1,VALID,1
3,1,2,ricxapp-hw-go|ricxapp-hw-python,0.092,,4151.926,2751.63,2751.63,4301.991,4532.379,1,1,VALID,1
4,1,1,ricxapp-hw-go,0.0,,1773.542,860.654,860.654,1946.126,2093.099,1,1,VALID,1
5,2,3,ricxapp-hw-go|ricxapp-hw-python|ricxapp-trafficxapp,0.484,,6257.226,4509.836,5416.828,6885.339,7092.756,1,1,VALID,1
6,2,2,ricxapp-hw-go|ricxapp-kpimon-go,0.036,,4224.392,2977.144,2977.144,4406.021,4544.531,1,1,VALID,1
7,2,4,ricxapp-hw-go|ricxapp-hw-python|ricxapp-kpimon-go|ricxapp-trafficxapp,0.438,,9432.482,8544.234,8544.234,9776.039,9921.913,1,1,VALID,1
8,2,1,ricxapp-hw-python,0.0,,1859.233,818.401,818.401,2083.08,2237.251,1,1,VALID,1
9,3,4,ricxapp-hw-go|ricxapp-hw-python|ricxapp-kpimon-go|ricxapp-trafficxapp,2.009,,9680.607,8502.565,8502.565,10031.824,10186.321,1,1,VALID,1
10,3,1,ricxapp-kpimon-go,0.0,,2723.823,1123.484,1123.484,2900.116,3071.303,1,1,VALID,1
11,3,3,ricxapp-hw-go|ricxapp-kpimon-go|ricxapp-trafficxapp,0.962,,5875.716,4890.747,4890.747,6118.728,6237.088,1,1,VALID,1
12,3,2,ricxapp-hw-go|ricxapp-trafficxapp,0.234,,3471.246,2630.049,2630.049,3644.713,3774.057,1,1,VALID,1
13,4,2,ricxapp-hw-python|ricxapp-kpimon-go,0.262,,3806.951,3100.972,3100.972,4158.347,4353.238,1,1,VALID,1
14,4,3,ricxapp-hw-python|ricxapp-kpimon-go|ricxapp-trafficxapp,0.359,,6485.184,4834.711,4834.711,6880.767,6990.904,1,1,VALID,1
15,4,1,ricxapp-trafficxapp,0.0,,1495.686,698.038,698.038,1697.388,1833.849,1,1,VALID,1
16,4,4,ricxapp-hw-go|ricxapp-hw-python|ricxapp-kpimon-go|ricxapp-trafficxapp,0.387,,7872.188,6613.233,7872.188,8443.754,8593.381,1,1,VALID,1
17,5,3,ricxapp-hw-go|ricxapp-hw-python|ricxapp-kpimon-go,0.376,,6796.861,4765.455,4765.455,7160.481,7364.899,1,1,VALID,1
18,5,1,ricxapp-hw-go,0.0,,2048.993,999.788,999.788,2262.816,2440.638,1,1,VALID,1
19,5,2,ricxapp-hw-python|ricxapp-trafficxapp,0.099,,3561.765,2415.99,2415.99,3920.078,4055.078,1,1,VALID,1
20,5,4,ricxapp-hw-go|ricxapp-hw-python|ricxapp-kpimon-go|ricxapp-trafficxapp,0.469,,7828.786,6905.732,6905.732,8132.397,8277.407,1,1,VALID,1
21,6,1,ricxapp-hw-python,0.0,,1894.735,942.157,942.157,2077.825,2255.13,1,0,VALID,0
22,6,2,ricxapp-kpimon-go|ricxapp-trafficxapp,0.1,,3959.08,2631.226,2631.226,4068.078,4194.215,1,1,VALID,1
23,6,3,ricxapp-hw-go|ricxapp-hw-python|ricxapp-trafficxapp,0.17,,5406.639,4548.329,4548.329,5554.314,5717.437,1,1,VALID,1
24,6,4,ricxapp-hw-go|ricxapp-hw-python|ricxapp-kpimon-go|ricxapp-trafficxapp,0.567,,8900.579,7607.097,7607.097,9264.575,9423.271,1,1,VALID,1
