K,stage,n,median_s,iqr_s,min_s,max_s
1,Identity,6,1.877,0.215,1.496,2.724
1,NetworkPolicy-select,6,0.901,0.156,0.698,1.123
1,Service isolation,6,0.901,0.156,0.698,1.123
1,Node packet-filter,6,2.08,0.239,1.697,2.9
1,Verified unreachable,6,2.246,0.265,1.834,3.071
2,Identity,6,3.883,0.481,3.471,4.224
2,NetworkPolicy-select,6,2.691,0.29,2.416,3.101
2,Service isolation,6,2.691,0.29,2.416,3.101
2,Node packet-filter,6,4.113,0.309,3.645,4.406
2,Verified unreachable,6,4.274,0.398,3.774,4.545
3,Identity,6,6.371,0.748,5.407,6.943
3,NetworkPolicy-select,6,4.8,0.274,4.51,5.184
3,Service isolation,6,4.863,0.503,4.548,6.114
3,Node packet-filter,6,6.883,0.782,5.554,7.215
3,Verified unreachable,6,7.042,0.832,5.717,7.365
4,Identity,6,9.086,1.263,7.829,9.681
4,NetworkPolicy-select,6,7.86,1.324,6.613,8.544
4,Service isolation,6,7.992,0.732,6.906,8.544
4,Node packet-filter,6,9.326,1.03,8.132,10.032
4,Verified unreachable,6,9.47,1.02,8.277,10.186
