workloads,repetition,request_id,xapp,scheduled_offset_ms,send_lag_ms,service_latency_ms,end_to_end_ms,deadline_missed,http_code,response_valid,state,error
1,1,n1-r1-s000-x000,scale-n001-x000,31519790.423766,0.886466,55.614803,56.501269,0,200,1,SUSPICIOUS,
1,1,n1-r1-s001-x000,scale-n001-x000,31520790.423766,0.526923,34.373459,34.900382,0,200,1,SUSPICIOUS,
1,1,n1-r1-s002-x000,scale-n001-x000,31521790.423766,1.93132,95.896844,97.828164,0,200,1,SUSPICIOUS,
1,1,n1-r1-s003-x000,scale-n001-x000,31522790.423766,0.507578,33.609069,34.116647,0,200,1,SUSPICIOUS,
1,1,n1-r1-s004-x000,scale-n001-x000,31523790.423766,0.345818,92.126009,92.471827,0,200,1,SUSPICIOUS,
1,1,n1-r1-s005-x000,scale-n001-x000,31524790.423766,0.516324,42.064384,42.580708,0,200,1,SUSPICIOUS,
1,1,n1-r1-s006-x000,scale-n001-x000,31525790.423766,1.314653,85.805469,87.120122,0,200,1,SUSPICIOUS,
1,1,n1-r1-s007-x000,scale-n001-x000,31526790.423766,1.18388,39.921724,41.105604,0,200,1,SUSPICIOUS,
1,1,n1-r1-s008-x000,scale-n001-x000,31527790.423766,0.678126,32.105231,32.783357,0,200,1,SUSPICIOUS,
1,1,n1-r1-s009-x000,scale-n001-x000,31528790.423766,0.872146,57.459783,58.331929,0,200,1,SUSPICIOUS,
1,1,n1-r1-s010-x000,scale-n001-x000,31529790.423766,0.420338,38.702728,39.123066,0,200,1,SUSPICIOUS,
1,1,n1-r1-s011-x000,scale-n001-x000,31530790.423766,0.459018,45.788319,46.247337,0,200,1,SUSPICIOUS,
1,1,n1-r1-s012-x000,scale-n001-x000,31531790.423766,0.751092,34.132236,34.883328,0,200,1,SUSPICIOUS,
1,1,n1-r1-s013-x000,scale-n001-x000,31532790.423766,0.783749,44.738388,45.522137,0,200,1,SUSPICIOUS,
1,1,n1-r1-s014-x000,scale-n001-x000,31533790.423766,0.830713,54.412807,55.24352,0,200,1,SUSPICIOUS,
1,1,n1-r1-s015-x000,scale-n001-x000,31534790.423766,0.333811,54.815921,55.149732,0,200,1,SUSPICIOUS,
1,1,n1-r1-s016-x000,scale-n001-x000,31535790.423766,0.668402,31.930212,32.598614,0,200,1,SUSPICIOUS,
1,1,n1-r1-s017-x000,scale-n001-x000,31536790.423766,0.476068,38.099351,38.575419,0,200,1,SUSPICIOUS,
1,1,n1-r1-s018-x000,scale-n001-x000,31537790.423766,0.699572,60.90297,61.602542,0,200,1,SUSPICIOUS,
1,1,n1-r1-s019-x000,scale-n001-x000,31538790.423766,0.776852,33.239243,34.016095,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x000,scale-n010-x000,31545177.031369,0.788211,289.350219,290.13843,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x001,scale-n010-x001,31545177.031369,1.429388,372.585883,374.015271,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x002,scale-n010-x002,31545177.031369,4.211954,348.81999,353.031944,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x003,scale-n010-x003,31545177.031369,5.776146,368.450288,374.226434,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x004,scale-n010-x004,31545177.031369,7.315354,353.096925,360.412279,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x005,scale-n010-x005,31545177.031369,9.957178,363.337766,373.294944,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x006,scale-n010-x006,31545177.031369,11.7233,346.912013,358.635313,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x007,scale-n010-x007,31545177.031369,13.029762,358.877786,371.907548,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x008,scale-n010-x008,31545177.031369,14.55493,318.417016,332.971946,0,200,1,SUSPICIOUS,
10,1,n10-r1-s000-x009,scale-n010-x009,31545177.031369,18.590431,370.041382,388.631813,0,200,1,SUSPICIOUS,
10,1,n10-r1-s001-x000,scale-n010-x000,31546177.031369,0.390466,218.480236,218.870702,0,200,1,SUSPICIOUS,
10,1,n10-r1-s001-x001,scale-n010-x001,31546177.031369,0.658656,215.162518,215.821174,0,200,1,SUSPICIOUS,
10,1,n10-r1-s001-x002,scale-n010-x002,31546177.031369,1.376632,236.943713,238.320345,0,200,1,SUSPICIOUS,
10,1,n10-r1-s001-x003,scale-n010-x003,31546177.031369,1.594416,216.792344,218.38676,0,200,1,SUSPICIOUS,
10,1,n10-r1-s001-x004,scale-n010-x004,31546177.031369,1.831937,253.038274,254.870211,0,200,1,SUSPICIOUS,
10,1,n10-r1-s001-x005,scale-n010-x005,31546177.031369,2.069851,253.20127,255.271121,0,200,1,SUSPICIOUS,
10,1,n10-r1-s001-x006,scale-n010-x006,31546177.031369,2.46476,239.71605,242.18081,0,200,1,SUSPICIOUS,
10,1,n10-r1-s001-x007,scale-n010-x007,31546177.031369,2.972605,262.573879,265.546484,0,200,1,SUSPICIOUS,
10,1,n10-r1-s001-x008,scale-n010-x008,31546177.031369,3.835496,265.243692,269.079188,0,200,1,SUSPICIOUS,
10,1,n10-r1-s001-x009,scale-n010-x009,31546177.031369,5.668575,260.811806,266.480381,0,200,1,SUSPICIOUS,
10,1,n10-r1-s002-x000,scale-n010-x000,31547177.031369,0.291362,245.894948,246.18631,0,200,1,SUSPICIOUS,
10,1,n10-r1-s002-x001,scale-n010-x001,31547177.031369,0.492423,278.454226,278.946649,0,200,1,SUSPICIOUS,
10,1,n10-r1-s002-x002,scale-n010-x002,31547177.031369,0.655369,269.61229,270.267659,0,200,1,SUSPICIOUS,
10,1,n10-r1-s002-x003,scale-n010-x003,31547177.031369,1.094151,259.029806,260.123957,0,200,1,SUSPICIOUS,
10,1,n10-r1-s002-x004,scale-n010-x004,31547177.031369,1.543451,277.248205,278.791656,0,200,1,SUSPICIOUS,
10,1,n10-r1-s002-x005,scale-n010-x005,31547177.031369,1.705419,274.627193,276.332612,0,200,1,SUSPICIOUS,
10,1,n10-r1-s002-x006,scale-n010-x006,31547177.031369,1.792384,276.119242,277.911626,0,200,1,SUSPICIOUS,
10,1,n10-r1-s002-x007,scale-n010-x007,31547177.031369,2.16474,281.767266,283.932006,0,200,1,SUSPICIOUS,
10,1,n10-r1-s002-x008,scale-n010-x008,31547177.031369,2.27704,287.245233,289.522273,0,200,1,SUSPICIOUS,
10,1,n10-r1-s002-x009,scale-n010-x009,31547177.031369,2.44911,281.201495,283.650605,0,200,1,SUSPICIOUS,
10,1,n10-r1-s003-x000,scale-n010-x000,31548177.031369,0.738568,237.904853,238.643421,0,200,1,SUSPICIOUS,
10,1,n10-r1-s003-x001,scale-n010-x001,31548177.031369,0.947298,232.357893,233.305191,0,200,1,SUSPICIOUS,
10,1,n10-r1-s003-x002,scale-n010-x002,31548177.031369,1.245952,210.219369,211.465321,0,200,1,SUSPICIOUS,
10,1,n10-r1-s003-x003,scale-n010-x003,31548177.031369,1.695127,235.379843,237.07497,0,200,1,SUSPICIOUS,
10,1,n10-r1-s003-x004,scale-n010-x004,31548177.031369,1.931145,180.508751,182.439896,0,200,1,SUSPICIOUS,
10,1,n10-r1-s003-x005,scale-n010-x005,31548177.031369,2.215768,235.788078,238.003846,0,200,1,SUSPICIOUS,
