workloads,repetition,duration_s,offered_rate_requests_s,expected_requests,observed_requests,valid_responses,invalid_responses,error_rate,deadline_misses,deadline_miss_rate,send_lag_p95_ms,service_latency_mean_ms,service_latency_p50_ms,service_latency_p95_ms,service_latency_p99_ms,service_latency_max_ms,end_to_end_p95_ms,end_to_end_p99_ms,drain_wall_s,achieved_completion_rate_requests_s,evaluator_cpu_time_s,evaluator_mean_cpu_cores,evaluator_throttled_time_s,evaluator_throttle_events,evaluator_memory_before_bytes,evaluator_memory_after_bytes,client_cpu_time_s,pod_uid,pod_restart_count
1,1,20,1,20,20,20,0,0.0,0,0.0,1.3454863500000005,50.286947500000004,43.401386,92.31455075,95.18038535,95.896844,92.73964385000001,96.81045997,19.034115574,1.050744907071982,0.605091,0.03178981432825464,0.0,0,175161344,175091712,0.027173184,a3baa61d-5ca2-4e1c-82f4-4e71d4f2ff19,19
10,1,20,10,200,200,200,0,0.0,0,0.0,10.799871999999992,254.9730146,253.119772,368.52984269999996,385.63529714,390.968999,374.02582915,396.95227488,19.247920609,10.390732799806093,6.066313,0.3151671873149505,1.594372,43,175460352,176517120,0.262974035,a3baa61d-5ca2-4e1c-82f4-4e71d4f2ff19,19
20,1,20,20,400,400,400,0,0.0,0,0.0,13.632185599999996,448.2647477175,449.945151,682.3272933499996,731.08997684,779.669286,687.9137720499998,739.6707278999999,19.644702468,20.361723505437418,12.051751,0.6134860540459472,0.653514,70,176500736,177713152,0.494548382,a3baa61d-5ca2-4e1c-82f4-4e71d4f2ff19,19
50,1,20,50,1000,1000,1000,0,0.0,961,0.961,10551.147489199999,7301.497168161,7413.970726,13073.020508149999,15272.405370059998,22764.232302,17437.919549899998,19104.52105248,32.93175449,30.36582822526684,33.021235,1.002717149796169,6.792556,293,178216960,192843776,1.468958683,a3baa61d-5ca2-4e1c-82f4-4e71d4f2ff19,19
75,1,20,75,1500,1500,1446,54,0.036,1472,0.9813333333333333,19189.103488449997,7112.40908637,4515.9477050000005,20389.746290249983,34144.49465437,37238.424183,29069.30283005,34187.653976049995,44.680153195,33.57195293072226,44.783994,1.0023240924118322,9.892205,406,192892928,195678208,2.004850949,a3baa61d-5ca2-4e1c-82f4-4e71d4f2ff19,19
100,1,20,100,2000,2000,1915,85,0.0425,1977,0.9885,30794.710576550002,7017.130189981,5083.768993,23488.830655349997,33136.77853219,34170.54746,38589.43546845,45032.3253451,66.683930416,29.992233324029208,60.93989,0.9138616998103372,13.444285,570,195391488,194445312,2.621765229,a3baa61d-5ca2-4e1c-82f4-4e71d4f2ff19,19
100,2,20,100,2000,2000,1901,99,0.0495,1981,0.9905,31745.866926400002,7451.5347497435,5271.283187,29148.391043849962,33122.374520059995,37230.943082,41886.123318750004,51197.844494310004,73.09254851,27.36257034089288,63.747998,0.8721545396830493,10.284733,489,193732608,194121728,2.776881701,a3baa61d-5ca2-4e1c-82f4-4e71d4f2ff19,19
75,2,20,75,1500,1500,1460,40,0.02666666666666667,1471,0.9806666666666667,23929.72127015,7554.043486792666,6227.929798,16424.4159805,32124.88073181,34122.809529,29793.88724195,32179.65824062,47.152552163,31.811639692687315,47.204077,1.0010927263665788,10.438456,434,194174976,196141056,1.991655115,a3baa61d-5ca2-4e1c-82f4-4e71d4f2ff19,19
50,2,20,50,1000,1000,1000,0,0.0,960,0.96,2874.4522411999988,5358.517382914,4258.0254035,16469.543333849975,19534.66151523,27521.426495,16520.826767199975,19548.00810645,37.554684448,26.627836572149803,30.508213,0.8123677098723362,7.736613,282,196243456,195760128,1.473694108,a3baa61d-5ca2-4e1c-82f4-4e71d4f2ff19,19
20,2,20,20,400,400,400,0,0.0,0,0.0,13.433143149999983,425.2937335075,441.568942,589.6754424999999,620.0903842799999,712.69946,604.7191029,640.25890018,19.583555007,20.425300710571847,11.587756,0.591708502151833,1.222039,80,196042752,195506176,0.454860019,a3baa61d-5ca2-4e1c-82f4-4e71d4f2ff19,19
