workloads,repetition,xapp,expected_requests,observed_requests,valid_responses,deadline_misses,end_to_end_mean_ms
1,1,scale-n001-x000,20,20,20,0,51.03508995
10,1,scale-n010-x000,20,20,20,0,236.2244887
10,1,scale-n010-x001,20,20,20,0,236.9935441
10,1,scale-n010-x002,20,20,20,0,245.85817860000003
10,1,scale-n010-x003,20,20,20,0,252.87231555
10,1,scale-n010-x004,20,20,20,0,258.1802722
10,1,scale-n010-x005,20,20,20,0,264.5214949
10,1,scale-n010-x006,20,20,20,0,264.1790392
10,1,scale-n010-x007,20,20,20,0,267.65974625
10,1,scale-n010-x008,20,20,20,0,274.81251435
10,1,scale-n010-x009,20,20,20,0,280.97847255
20,1,scale-n020-x000,20,20,20,0,302.6856504
20,1,scale-n020-x001,20,20,20,0,319.90694870000004
20,1,scale-n020-x002,20,20,20,0,318.08412695000004
20,1,scale-n020-x003,20,20,20,0,334.4323986
20,1,scale-n020-x004,20,20,20,0,352.1504352
20,1,scale-n020-x005,20,20,20,0,358.3740406
20,1,scale-n020-x006,20,20,20,0,391.99909295
20,1,scale-n020-x007,20,20,20,0,411.56212455
20,1,scale-n020-x008,20,20,20,0,432.8208659
20,1,scale-n020-x009,20,20,20,0,459.6811569
20,1,scale-n020-x010,20,20,20,0,477.70689624999994
20,1,scale-n020-x011,20,20,20,0,497.0451394
20,1,scale-n020-x012,20,20,20,0,516.4224170499999
20,1,scale-n020-x013,20,20,20,0,515.2417585000001
20,1,scale-n020-x014,20,20,20,0,542.59278555
20,1,scale-n020-x015,20,20,20,0,555.37172895
20,1,scale-n020-x016,20,20,20,0,565.4262845000001
20,1,scale-n020-x017,20,20,20,0,570.6450090999999
20,1,scale-n020-x018,20,20,20,0,576.44119905
20,1,scale-n020-x019,20,20,20,0,582.406037
50,1,scale-n050-x000,20,20,20,18,10710.4961677
50,1,scale-n050-x001,20,20,20,18,11251.1783385
50,1,scale-n050-x002,20,20,20,18,11260.5855541
50,1,scale-n050-x003,20,20,20,18,11327.33292125
50,1,scale-n050-x004,20,20,20,18,10971.290932749998
50,1,scale-n050-x005,20,20,20,18,10849.1948783
50,1,scale-n050-x006,20,20,20,18,11271.87957025
50,1,scale-n050-x007,20,20,20,18,11037.38544425
50,1,scale-n050-x008,20,20,20,19,11636.1988433
50,1,scale-n050-x009,20,20,20,19,11391.48942615
50,1,scale-n050-x010,20,20,20,18,11282.513389349999
50,1,scale-n050-x011,20,20,20,19,10964.285017350001
50,1,scale-n050-x012,20,20,20,18,10929.22891165
50,1,scale-n050-x013,20,20,20,19,11154.205770199998
50,1,scale-n050-x014,20,20,20,18,11620.66381425
50,1,scale-n050-x015,20,20,20,18,11699.7030266
50,1,scale-n050-x016,20,20,20,19,10473.29368245
50,1,scale-n050-x017,20,20,20,19,11527.24473955
50,1,scale-n050-x018,20,20,20,19,11719.153745
50,1,scale-n050-x019,20,20,20,19,12052.847441549999
50,1,scale-n050-x020,20,20,20,19,11754.0995933
50,1,scale-n050-x021,20,20,20,19,11449.8402411
50,1,scale-n050-x022,20,20,20,19,11898.23984355
50,1,scale-n050-x023,20,20,20,19,11110.064117400001
50,1,scale-n050-x024,20,20,20,20,11065.824864999999
50,1,scale-n050-x025,20,20,20,19,11735.1867399
50,1,scale-n050-x026,20,20,20,20,11595.4063281
50,1,scale-n050-x027,20,20,20,19,11769.23655295
50,1,scale-n050-x028,20,20,20,20,11834.735714350001
50,1,scale-n050-x029,20,20,20,20,11440.2138884
