workloads,repetition,virtual_xapp_id,updates,ready,normal,suspicious
1,1,virtual-xapp-000,300,273,300,0
1,2,virtual-xapp-000,300,273,300,0
1,3,virtual-xapp-000,300,273,300,0
1,4,virtual-xapp-000,300,273,300,0
1,5,virtual-xapp-000,300,273,300,0
2,1,virtual-xapp-000,300,273,300,0
2,1,virtual-xapp-001,300,273,300,0
2,2,virtual-xapp-000,300,273,300,0
2,2,virtual-xapp-001,300,273,300,0
2,3,virtual-xapp-000,300,273,300,0
2,3,virtual-xapp-001,300,273,300,0
2,4,virtual-xapp-000,300,273,300,0
2,4,virtual-xapp-001,300,273,300,0
2,5,virtual-xapp-000,300,273,300,0
2,5,virtual-xapp-001,300,273,300,0
3,1,virtual-xapp-000,300,273,300,0
3,1,virtual-xapp-001,300,273,300,0
3,1,virtual-xapp-002,300,273,300,0
3,2,virtual-xapp-000,300,273,300,0
3,2,virtual-xapp-001,300,273,300,0
3,2,virtual-xapp-002,300,273,300,0
3,3,virtual-xapp-000,300,273,300,0
3,3,virtual-xapp-001,300,273,300,0
3,3,virtual-xapp-002,300,273,300,0
3,4,virtual-xapp-000,300,273,300,0
3,4,virtual-xapp-001,300,273,300,0
3,4,virtual-xapp-002,300,273,300,0
3,5,virtual-xapp-000,300,273,300,0
3,5,virtual-xapp-001,300,273,300,0
3,5,virtual-xapp-002,300,273,300,0
4,1,virtual-xapp-000,300,273,300,0
4,1,virtual-xapp-001,300,273,300,0
4,1,virtual-xapp-002,300,273,300,0
4,1,virtual-xapp-003,300,273,300,0
4,2,virtual-xapp-000,300,273,300,0
4,2,virtual-xapp-001,300,273,300,0
4,2,virtual-xapp-002,300,273,300,0
4,2,virtual-xapp-003,300,273,300,0
4,3,virtual-xapp-000,300,273,300,0
4,3,virtual-xapp-001,300,273,300,0
4,3,virtual-xapp-002,300,273,300,0
4,3,virtual-xapp-003,300,273,300,0
4,4,virtual-xapp-000,300,273,300,0
4,4,virtual-xapp-001,300,273,300,0
4,4,virtual-xapp-002,300,273,300,0
4,4,virtual-xapp-003,300,273,300,0
4,5,virtual-xapp-000,300,273,300,0
4,5,virtual-xapp-001,300,273,300,0
4,5,virtual-xapp-002,300,273,300,0
4,5,virtual-xapp-003,300,273,300,0
5,1,virtual-xapp-000,300,273,300,0
