workloads,repetition,request_id,xapp,scheduled_offset_ms,send_lag_ms,service_latency_ms,end_to_end_ms,deadline_missed,http_code,response_valid,state,error
5,1,n5-r1-s000-x000,scale-n005-x000,51038271.528716,0.831598,103.773435,104.605033,0,200,1,SUSPICIOUS,
5,1,n5-r1-s000-x001,scale-n005-x001,51038271.528716,1.151313,63.313922,64.465235,0,200,1,SUSPICIOUS,
5,1,n5-r1-s000-x002,scale-n005-x002,51038271.528716,1.84731,109.506709,111.354019,0,200,1,SUSPICIOUS,
5,1,n5-r1-s000-x003,scale-n005-x003,51038271.528716,2.246613,112.132256,114.378869,0,200,1,SUSPICIOUS,
5,1,n5-r1-s000-x004,scale-n005-x004,51038271.528716,2.853001,113.904023,116.757024,0,200,1,SUSPICIOUS,
5,1,n5-r1-s001-x000,scale-n005-x000,51039271.528716,0.786981,130.197142,130.984123,0,200,1,SUSPICIOUS,
5,1,n5-r1-s001-x001,scale-n005-x001,51039271.528716,1.079051,119.809351,120.888402,0,200,1,SUSPICIOUS,
5,1,n5-r1-s001-x002,scale-n005-x002,51039271.528716,1.668614,126.662281,128.330895,0,200,1,SUSPICIOUS,
5,1,n5-r1-s001-x003,scale-n005-x003,51039271.528716,1.842206,119.719134,121.56134,0,200,1,SUSPICIOUS,
5,1,n5-r1-s001-x004,scale-n005-x004,51039271.528716,2.163122,114.563715,116.726837,0,200,1,SUSPICIOUS,
5,1,n5-r1-s002-x000,scale-n005-x000,51040271.528716,0.478241,108.467177,108.945418,0,200,1,SUSPICIOUS,
5,1,n5-r1-s002-x001,scale-n005-x001,51040271.528716,0.702407,108.668757,109.371164,0,200,1,SUSPICIOUS,
5,1,n5-r1-s002-x002,scale-n005-x002,51040271.528716,0.853229,102.876919,103.730148,0,200,1,SUSPICIOUS,
5,1,n5-r1-s002-x003,scale-n005-x003,51040271.528716,1.407668,106.033588,107.441256,0,200,1,SUSPICIOUS,
5,1,n5-r1-s002-x004,scale-n005-x004,51040271.528716,1.646426,104.43107,106.077496,0,200,1,SUSPICIOUS,
5,1,n5-r1-s003-x000,scale-n005-x000,51041271.528716,0.477158,113.930052,114.40721,0,200,1,SUSPICIOUS,
5,1,n5-r1-s003-x001,scale-n005-x001,51041271.528716,0.766008,126.952552,127.71856,0,200,1,SUSPICIOUS,
5,1,n5-r1-s003-x002,scale-n005-x002,51041271.528716,0.971573,121.991924,122.963497,0,200,1,SUSPICIOUS,
5,1,n5-r1-s003-x003,scale-n005-x003,51041271.528716,1.312051,126.516768,127.828819,0,200,1,SUSPICIOUS,
5,1,n5-r1-s003-x004,scale-n005-x004,51041271.528716,1.583545,119.1662,120.749745,0,200,1,SUSPICIOUS,
5,1,n5-r1-s004-x000,scale-n005-x000,51042271.528716,0.748107,102.783409,103.531516,0,200,1,SUSPICIOUS,
5,1,n5-r1-s004-x001,scale-n005-x001,51042271.528716,0.960304,103.592751,104.553055,0,200,1,SUSPICIOUS,
5,1,n5-r1-s004-x002,scale-n005-x002,51042271.528716,1.523134,105.790088,107.313222,0,200,1,SUSPICIOUS,
5,1,n5-r1-s004-x003,scale-n005-x003,51042271.528716,2.041191,110.211469,112.25266,0,200,1,SUSPICIOUS,
5,1,n5-r1-s004-x004,scale-n005-x004,51042271.528716,2.296901,109.692311,111.989212,0,200,1,SUSPICIOUS,
5,1,n5-r1-s005-x000,scale-n005-x000,51043271.528716,0.310046,125.471965,125.782011,0,200,1,SUSPICIOUS,
5,1,n5-r1-s005-x001,scale-n005-x001,51043271.528716,0.651001,112.829079,113.48008,0,200,1,SUSPICIOUS,
5,1,n5-r1-s005-x002,scale-n005-x002,51043271.528716,0.82605,134.010981,134.837031,0,200,1,SUSPICIOUS,
5,1,n5-r1-s005-x003,scale-n005-x003,51043271.528716,1.221081,122.237118,123.458199,0,200,1,SUSPICIOUS,
5,1,n5-r1-s005-x004,scale-n005-x004,51043271.528716,1.510816,133.442732,134.953548,0,200,1,SUSPICIOUS,
5,1,n5-r1-s006-x000,scale-n005-x000,51044271.528716,0.588612,110.931005,111.519617,0,200,1,SUSPICIOUS,
5,1,n5-r1-s006-x001,scale-n005-x001,51044271.528716,0.774514,126.314371,127.088885,0,200,1,SUSPICIOUS,
5,1,n5-r1-s006-x002,scale-n005-x002,51044271.528716,0.901453,125.323941,126.225394,0,200,1,SUSPICIOUS,
5,1,n5-r1-s006-x003,scale-n005-x003,51044271.528716,1.315287,122.61518,123.930467,0,200,1,SUSPICIOUS,
5,1,n5-r1-s006-x004,scale-n005-x004,51044271.528716,1.666892,132.076252,133.743144,0,200,1,SUSPICIOUS,
5,1,n5-r1-s007-x000,scale-n005-x000,51045271.528716,0.5274,124.334661,124.862061,0,200,1,SUSPICIOUS,
5,1,n5-r1-s007-x001,scale-n005-x001,51045271.528716,0.856122,122.343254,123.199376,0,200,1,SUSPICIOUS,
