workloads,repetition,duration_s,offered_rate_requests_s,expected_requests,observed_requests,valid_responses,invalid_responses,error_rate,deadline_misses,deadline_miss_rate,send_lag_p95_ms,service_latency_mean_ms,service_latency_p50_ms,service_latency_p95_ms,service_latency_p99_ms,service_latency_max_ms,end_to_end_p95_ms,end_to_end_p99_ms,drain_wall_s,achieved_completion_rate_requests_s,evaluator_cpu_time_s,evaluator_mean_cpu_cores,evaluator_throttled_time_s,evaluator_throttle_events,evaluator_memory_before_bytes,evaluator_memory_after_bytes,client_cpu_time_s,pod_uid,pod_restart_count
5,1,20,5,100,100,100,0,0.0,0,0.0,2.3180733,115.71746689,115.8770805,132.9222475,138.61981517,138.952472,133.7693165,140.13525882,19.113852988,5.231807530526769,2.806867,0.1468498790778708,0.0,0,103329792,103456768,0.106730566,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
10,1,20,10,200,200,200,0,0.0,0,0.0,6.67320845,228.62466047499998,218.2104125,354.88351145,365.50879251,367.97689,362.1465432,371.36157147,19.221147209,10.405206194266757,5.75009,0.2991543604279567,0.646439,30,103559168,104833024,0.225406663,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
15,1,20,15,300,300,300,0,0.0,0,0.0,7.720119650000002,341.15454486333334,335.2193155,479.5107139,527.59480164,539.672006,487.27451260000004,534.94915315,19.399287431,15.464485541907118,9.014751,0.46469495501130914,0.28253,25,104734720,105263104,0.347652987,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
20,1,20,20,400,400,400,0,0.0,0,0.0,11.798308749999999,416.93216185,432.3784665,561.4951014999999,624.57960692,649.008123,568.9135244,634.4516257099999,19.567185014,20.442388606935875,11.347825,0.5799416212337553,4.200612,95,105349120,106229760,0.433599608,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
25,1,20,25,500,500,500,0,0.0,0,0.0,26.97402739999998,510.08887189,514.146722,740.5248828499999,781.27181099,812.139443,760.77399095,805.2155212700001,19.688046425,25.396120529515667,14.911554,0.7573912453327629,4.308822,121,107479040,105906176,0.564019838,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
30,1,20,30,600,600,600,0,0.0,1,0.0016666666666666668,17.929029599999996,583.1398250000001,594.204981,901.9471283,932.51256408,994.946746,914.4367445999999,948.1297539100001,19.80637612,30.293275072875876,17.567313,0.8869524083338471,4.09606,159,106086400,106348544,0.703114556,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
35,1,20,35,700,700,700,0,0.0,469,0.67,35.22830809999999,1272.667573,1261.0078764999998,2235.94354075,2367.5124708099997,2490.668608,2257.90703055,2382.3300126499994,21.317960173,32.83616229317177,21.384383,1.0031158153247761,5.255162,200,106655744,106921984,0.879104419,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
40,1,20,40,800,800,800,0,0.0,751,0.93875,4425.344208349995,6677.14443467125,6837.307342,12497.297319,15199.57088477,18750.319564,13528.316393249996,15320.643289579999,26.719602483,29.940565190256464,27.283124,1.0210901908948136,4.628733,243,106790912,121999360,1.176737922,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
45,1,20,45,900,900,900,0,0.0,835,0.9277777777777778,5169.7486411499995,5231.67235763,3555.785133,13307.3325099,15065.64214346,17474.765922,13344.63156435,15088.742444040001,27.591656623,32.61855611996031,27.731014,1.0050507071360055,6.64105,253,121544704,122941440,1.309175105,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
50,1,20,50,1000,1000,1000,0,0.0,955,0.955,1837.6534487499998,5009.791151302999,3948.6796845,15839.293018499995,19909.91864258,19930.674622,15856.538167299994,19921.714711300003,30.930521524,32.330525019569016,29.677632,0.9594934238975621,8.30157,289,122765312,123424768,1.375104602,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
50,2,20,50,1000,1000,1000,0,0.0,939,0.939,2670.9704794,5136.361494385999,4171.44568,16847.108173549997,19641.752409030003,27538.24019,16879.403187499996,19653.95767072,37.564634704,26.620783294706627,30.002675,0.7986947094365121,8.773592,290,123047936,123355136,1.468766478,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
45,2,20,45,900,900,900,0,0.0,813,0.9033333333333333,35.88092774999999,3295.400722263333,3161.2805865,7372.992445049998,9465.19557224,11203.653014,7407.998276449999,9486.93928667,25.523012279,35.26229545955703,25.691437,1.0065989358606617,7.414194,250,123502592,123584512,1.265838014,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
40,2,20,40,800,800,800,0,0.0,747,0.93375,1905.4987980499998,4085.9508100887497,2660.8909255,9589.825707399998,11074.915294049999,12314.303326,9615.936022799997,11082.983845889998,23.731708975,33.710172362334056,24.043379,1.0131330628286537,5.809503,230,123310080,124280832,1.206896887,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
35,2,20,35,700,700,700,0,0.0,429,0.6128571428571429,28.274737699999992,1103.3777216885715,1113.0287985,1726.5756334999999,1938.51550398,2181.679734,1745.83117165,1958.3633877500001,20.76598611,33.708969865048225,20.926304,1.0077202156040543,5.342917,198,124354560,124616704,0.885289709,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
30,2,20,30,600,600,600,0,0.0,0,0.0,15.48095325,555.2239703183333,556.2829205,865.7204963499996,923.9131051999999,947.46604,877.3644674999997,934.37946689,19.889218587,30.1670976853848,17.188216,0.8641976518491566,3.194518,141,124686336,124710912,0.669923089,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
25,2,20,25,500,500,500,0,0.0,0,0.0,12.402346049999995,467.850126222,485.805967,678.8260327500001,703.44342014,738.893615,688.84172585,714.75214959,19.722120832,25.35224300972379,13.587895,0.6889672320612217,4.677239,113,124678144,124186624,0.536277604,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
20,2,20,20,400,400,400,0,0.0,0,0.0,10.886075799999999,394.01394482750004,414.13878450000004,559.9971447,618.68819962,647.529676,568.7324036499997,626.37583107,19.550547884,20.459784675771495,10.913671,0.5582283967055294,3.960862,93,124887040,125042688,0.431877194,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
15,2,20,15,300,300,300,0,0.0,0,0.0,7.759933050000001,304.88515129666666,317.0761115,409.8416636,427.68209796999986,446.674888,415.07487705,433.9092707999999,19.453495627,15.421392933803753,7.812153,0.401580936906646,0.231803,35,124801024,125018112,0.321719439,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
10,2,20,10,200,200,200,0,0.0,0,0.0,7.327552849999955,202.382827375,211.5364945,257.617464,268.38838547,276.157734,260.16189715,272.03149807,19.260539681,10.383925025594925,5.036623,0.26149957807093493,1.595796,39,124776448,124690432,0.220809371,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
5,2,20,5,100,100,100,0,0.0,0,0.0,2.27655985,78.48477647,75.63584,95.00245435,98.51294787,99.455019,96.6262268,100.16275015,19.08018154,5.241040279955323,2.400801,0.1258269474515702,0.0,0,124932096,125079552,0.102861357,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
15,3,20,15,300,300,300,0,0.0,0,0.0,8.7139278,305.17353529,322.138524,396.7898678,427.24756774,467.20252,399.4555139,432.61823607,19.37565021,15.483351358457456,7.83745,0.40449997368114127,2.33554,61,125034496,124723200,0.314035104,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
50,3,20,50,1000,1000,1000,0,0.0,958,0.958,2563.6724628499996,5222.574116907,4044.3708795000002,15921.1999732,19836.279345590003,19969.862696,15938.019870249998,19866.43437747,30.885726962,32.377415018605255,29.604065,0.9585030987427661,9.113127,288,124968960,124555264,1.39015035,2e5a7056-5a75-4f1a-b6cc-d0fde7dafa8e,0
