workloads,repetition,xapp,expected_requests,observed_requests,valid_responses,deadline_misses,end_to_end_mean_ms
5,1,scale-n005-x000,20,20,20,0,116.47876495
5,1,scale-n005-x001,20,20,20,0,113.65554685
5,1,scale-n005-x002,20,20,20,0,117.32367274999999
5,1,scale-n005-x003,20,20,20,0,119.72441274999998
5,1,scale-n005-x004,20,20,20,0,117.88210059999999
10,1,scale-n010-x000,20,20,20,0,203.69654655
10,1,scale-n010-x001,20,20,20,0,206.51399195
10,1,scale-n010-x002,20,20,20,0,213.3811842
10,1,scale-n010-x003,20,20,20,0,225.6652802
10,1,scale-n010-x004,20,20,20,0,234.97138135
10,1,scale-n010-x005,20,20,20,0,229.70257550000002
10,1,scale-n010-x006,20,20,20,0,241.4074245
10,1,scale-n010-x007,20,20,20,0,249.3899481
10,1,scale-n010-x008,20,20,20,0,255.90881144999997
10,1,scale-n010-x009,20,20,20,0,255.74252280000002
15,1,scale-n015-x000,20,20,20,0,275.6178175
15,1,scale-n015-x001,20,20,20,0,255.86220815000001
15,1,scale-n015-x002,20,20,20,0,264.90328220000004
15,1,scale-n015-x003,20,20,20,0,272.32889975
15,1,scale-n015-x004,20,20,20,0,295.14798505
15,1,scale-n015-x005,20,20,20,0,326.0222744
15,1,scale-n015-x006,20,20,20,0,348.28779760000003
15,1,scale-n015-x007,20,20,20,0,343.1602003
15,1,scale-n015-x008,20,20,20,0,371.15525785
15,1,scale-n015-x009,20,20,20,0,383.18994455
15,1,scale-n015-x010,20,20,20,0,394.52406394999997
15,1,scale-n015-x011,20,20,20,0,401.72133265
15,1,scale-n015-x012,20,20,20,0,406.6465407
15,1,scale-n015-x013,20,20,20,0,414.92582389999995
15,1,scale-n015-x014,20,20,20,0,423.06021094999994
20,1,scale-n020-x000,20,20,20,0,299.59380580000004
20,1,scale-n020-x001,20,20,20,0,305.37338755
20,1,scale-n020-x002,20,20,20,0,314.38626925
20,1,scale-n020-x003,20,20,20,0,343.3876457
20,1,scale-n020-x004,20,20,20,0,311.64224455
20,1,scale-n020-x005,20,20,20,0,328.1829012
20,1,scale-n020-x006,20,20,20,0,380.9762715
20,1,scale-n020-x007,20,20,20,0,410.75239535000003
20,1,scale-n020-x008,20,20,20,0,409.56503134999997
20,1,scale-n020-x009,20,20,20,0,402.41894255
20,1,scale-n020-x010,20,20,20,0,440.9929412
20,1,scale-n020-x011,20,20,20,0,462.32245604999997
20,1,scale-n020-x012,20,20,20,0,469.51711035
20,1,scale-n020-x013,20,20,20,0,464.22184795000004
20,1,scale-n020-x014,20,20,20,0,491.0119224
20,1,scale-n020-x015,20,20,20,0,507.571046
20,1,scale-n020-x016,20,20,20,0,509.74820095000007
20,1,scale-n020-x017,20,20,20,0,525.8039332999999
20,1,scale-n020-x018,20,20,20,0,534.23356915
20,1,scale-n020-x019,20,20,20,0,530.7975415
25,1,scale-n025-x000,20,20,20,0,305.73391915
25,1,scale-n025-x001,20,20,20,0,307.70289175
25,1,scale-n025-x002,20,20,20,0,340.35932745
25,1,scale-n025-x003,20,20,20,0,358.3298411
25,1,scale-n025-x004,20,20,20,0,328.70642069999997
25,1,scale-n025-x005,20,20,20,0,344.87802124999996
25,1,scale-n025-x006,20,20,20,0,384.17911615
25,1,scale-n025-x007,20,20,20,0,406.8284557
25,1,scale-n025-x008,20,20,20,0,396.8902447
25,1,scale-n025-x009,20,20,20,0,458.78375130000006
25,1,scale-n025-x010,20,20,20,0,502.59219335
25,1,scale-n025-x011,20,20,20,0,499.37771405
25,1,scale-n025-x012,20,20,20,0,532.6745512
25,1,scale-n025-x013,20,20,20,0,580.0698626000001
25,1,scale-n025-x014,20,20,20,0,584.8201474
25,1,scale-n025-x015,20,20,20,0,599.0389169
25,1,scale-n025-x016,20,20,20,0,618.8077710499999
25,1,scale-n025-x017,20,20,20,0,628.2423896500001
25,1,scale-n025-x018,20,20,20,0,652.7598279
25,1,scale-n025-x019,20,20,20,0,676.4856327499999
25,1,scale-n025-x020,20,20,20,0,672.1791008
25,1,scale-n025-x021,20,20,20,0,687.85986095
25,1,scale-n025-x022,20,20,20,0,701.46738465
25,1,scale-n025-x023,20,20,20,0,701.1945379
25,1,scale-n025-x024,20,20,20,0,716.08882645
30,1,scale-n030-x000,20,20,20,0,307.1259435
30,1,scale-n030-x001,20,20,20,0,312.96186739999996
30,1,scale-n030-x002,20,20,20,0,312.91054210000004
30,1,scale-n030-x003,20,20,20,0,312.35108145
30,1,scale-n030-x004,20,20,20,0,350.26870210000004
30,1,scale-n030-x005,20,20,20,0,378.3978356
30,1,scale-n030-x006,20,20,20,0,365.26865315
30,1,scale-n030-x007,20,20,20,0,415.18013254999994
30,1,scale-n030-x008,20,20,20,0,426.74601679999995
30,1,scale-n030-x009,20,20,20,0,448.7371732
30,1,scale-n030-x010,20,20,20,0,471.3969105
30,1,scale-n030-x011,20,20,20,0,488.72905525
30,1,scale-n030-x012,20,20,20,0,522.27958255
