N_contexts,reps,updates,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,cpu_cores,rss_mib,deadline_misses,decision_equiv_ok
1,5,1540,0.0455,0.0381,0.0749,0.1339,0.6825,0.9926,36.8,0,1
2,5,3080,0.1274,0.0995,0.2434,0.3275,0.9621,0.9972,36.79,0,1
3,5,4620,0.1502,0.1276,0.3004,0.4366,0.8883,0.9964,36.8,0,1
4,5,6160,0.1916,0.1659,0.3354,0.4514,1.6207,0.9991,36.8,0,1
5,5,7700,0.2564,0.2114,0.4797,0.912,1.5607,0.9996,36.76,0,1
10,5,15400,0.4573,0.3981,0.8187,1.2733,2.1202,0.9979,36.79,0,1
20,5,30800,0.9433,0.8248,1.9307,2.7705,3.5114,0.9962,36.8,0,1
40,5,61600,2.041,1.7228,3.9251,5.8512,14.0529,0.9985,36.84,0,1
60,5,92400,3.1592,2.763,5.6532,9.568,21.3278,0.9973,36.95,0,1
80,5,123200,4.1648,3.5622,7.6175,11.9975,50.6744,0.9978,37.07,0,1
