offered_rate_eval_s,reps,achieved_rate_eval_s,completion_pct,deadline_miss_pct,error_pct,service_p50_ms,service_p95_ms,service_p99_ms,e2e_p95_ms,e2e_p99_ms,cpu_cores
1,5,1.05,105.03,0.0,0.0,39.6,58.6,76.8,59.3,77.7,0.047
2,5,2.099,104.96,0.0,0.0,51.4,74.5,82.4,75.2,83.1,0.073
3,5,3.146,104.88,0.0,0.0,65.3,87.6,117.9,89.4,129.2,0.11
4,5,4.189,104.72,0.0,0.0,79.9,131.2,153.5,132.6,155.2,0.138
5,5,5.225,104.5,0.0,0.0,119.3,171.3,202.6,172.8,204.3,0.167
10,5,10.35,103.5,0.0,0.0,241.1,352.7,369.8,357.0,373.0,0.333
20,5,20.446,102.23,0.0,0.0,431.1,607.4,685.8,615.5,695.3,0.603
25,5,25.396,101.58,1.96,0.0,538.4,852.3,1149.5,868.5,1163.7,0.783
30,5,29.811,99.37,33.1,0.0,1174.2,2208.1,2618.0,2220.7,2629.1,0.957
35,5,31.286,89.39,72.971,0.0,3372.2,7849.7,9246.4,7866.3,9266.2,1.012
40,5,31.583,78.96,91.45,0.0,5909.4,11166.3,13454.8,11697.4,13512.6,1.017
60,5,29.594,49.32,97.717,0.0,7920.1,13949.8,16656.1,23775.0,25150.7,1.01
80,5,29.923,37.4,98.05,0.0,7927.7,14890.8,18371.6,35306.6,36568.7,1.005
