trial_id,round,K,target_set,trial_success,all_nontargets_reachable,launch_skew_ms,T_identity_all_s,T_policy_all_s,T_service_all_s,T_nodefilter_all_s,T_all_isolated_s
1,1,3,hw-go|hw-python|kpimon-go,1,1,0.421,6.943,5.184,6.114,7.215,7.313
2,1,4,hw-go|hw-python|kpimon-go|trafficxapp,1,1,1.147,9.271,8.112,8.112,9.387,9.516
3,1,2,hw-go|hw-python,1,1,0.092,4.152,2.752,2.752,4.302,4.532
4,1,1,hw-go,1,1,0.0,1.774,0.861,0.861,1.946,2.093
5,2,3,hw-go|hw-python|trafficxapp,1,1,0.484,6.257,4.51,5.417,6.885,7.093
6,2,2,hw-go|kpimon-go,1,1,0.036,4.224,2.977,2.977,4.406,4.545
7,2,4,hw-go|hw-python|kpimon-go|trafficxapp,1,1,0.438,9.432,8.544,8.544,9.776,9.922
8,2,1,hw-python,1,1,0.0,1.859,0.818,0.818,2.083,2.237
9,3,4,hw-go|hw-python|kpimon-go|trafficxapp,1,1,2.009,9.681,8.503,8.503,10.032,10.186
10,3,1,kpimon-go,1,1,0.0,2.724,1.123,1.123,2.9,3.071
11,3,3,hw-go|kpimon-go|trafficxapp,1,1,0.962,5.876,4.891,4.891,6.119,6.237
12,3,2,hw-go|trafficxapp,1,1,0.234,3.471,2.63,2.63,3.645,3.774
13,4,2,hw-python|kpimon-go,1,1,0.262,3.807,3.101,3.101,4.158,4.353
14,4,3,hw-python|kpimon-go|trafficxapp,1,1,0.359,6.485,4.835,4.835,6.881,6.991
15,4,1,trafficxapp,1,1,0.0,1.496,0.698,0.698,1.697,1.834
16,4,4,hw-go|hw-python|kpimon-go|trafficxapp,1,1,0.387,7.872,6.613,7.872,8.444,8.593
17,5,3,hw-go|hw-python|kpimon-go,1,1,0.376,6.797,4.765,4.765,7.16,7.365
18,5,1,hw-go,1,1,0.0,2.049,1.0,1.0,2.263,2.441
19,5,2,hw-python|trafficxapp,1,1,0.099,3.562,2.416,2.416,3.92,4.055
20,5,4,hw-go|hw-python|kpimon-go|trafficxapp,1,1,0.469,7.829,6.906,6.906,8.132,8.277
21,6,1,hw-python,0,0,0.0,1.895,0.942,0.942,2.078,2.255
22,6,2,kpimon-go|trafficxapp,1,1,0.1,3.959,2.631,2.631,4.068,4.194
23,6,3,hw-go|hw-python|trafficxapp,1,1,0.17,5.407,4.548,4.548,5.554,5.717
24,6,4,hw-go|hw-python|kpimon-go|trafficxapp,1,1,0.567,8.901,7.607,7.607,9.265,9.423
