workloads,repetition,request_id,xapp,scheduled_offset_ms,send_lag_ms,service_latency_ms,end_to_end_ms,deadline_missed,http_code,response_valid,state,error
1,1,n1-r1-s000-x000,scale-n001-x000,66897058.789937,0.638221,42.912155,43.550376,0,200,1,SUSPICIOUS,
1,1,n1-r1-s001-x000,scale-n001-x000,66898058.789937,0.746361,33.590358,34.336719,0,200,1,SUSPICIOUS,
1,1,n1-r1-s002-x000,scale-n001-x000,66899058.789937,0.550739,74.785452,75.336191,0,200,1,SUSPICIOUS,
1,1,n1-r1-s003-x000,scale-n001-x000,66900058.789937,0.478949,31.569662,32.048611,0,200,1,SUSPICIOUS,
1,1,n1-r1-s004-x000,scale-n001-x000,66901058.789937,0.604034,44.706821,45.310855,0,200,1,SUSPICIOUS,
1,1,n1-r1-s005-x000,scale-n001-x000,66902058.789937,0.266559,83.712274,83.978833,0,200,1,SUSPICIOUS,
1,1,n1-r1-s006-x000,scale-n001-x000,66903058.789937,0.677898,41.490153,42.168051,0,200,1,SUSPICIOUS,
1,1,n1-r1-s007-x000,scale-n001-x000,66904058.789937,0.289608,36.187021,36.476629,0,200,1,SUSPICIOUS,
1,1,n1-r1-s008-x000,scale-n001-x000,66905058.789937,0.432528,33.617873,34.050401,0,200,1,SUSPICIOUS,
1,1,n1-r1-s009-x000,scale-n001-x000,66906058.789937,0.782714,47.41371,48.196424,0,200,1,SUSPICIOUS,
1,1,n1-r1-s010-x000,scale-n001-x000,66907058.789937,1.071344,31.787644,32.858988,0,200,1,SUSPICIOUS,
1,1,n1-r1-s011-x000,scale-n001-x000,66908058.789937,0.720238,54.188812,54.90905,0,200,1,SUSPICIOUS,
1,1,n1-r1-s012-x000,scale-n001-x000,66909058.789937,0.525393,30.888115,31.413508,0,200,1,SUSPICIOUS,
1,1,n1-r1-s013-x000,scale-n001-x000,66910058.789937,0.256046,41.735394,41.99144,0,200,1,SUSPICIOUS,
1,1,n1-r1-s014-x000,scale-n001-x000,66911058.789937,0.564288,30.017301,30.581589,0,200,1,SUSPICIOUS,
1,1,n1-r1-s015-x000,scale-n001-x000,66912058.789937,0.601183,44.953482,45.554665,0,200,1,SUSPICIOUS,
1,1,n1-r1-s016-x000,scale-n001-x000,66913058.789937,0.347787,30.982486,31.330273,0,200,1,SUSPICIOUS,
1,1,n1-r1-s017-x000,scale-n001-x000,66914058.789937,0.712688,48.156066,48.868754,0,200,1,SUSPICIOUS,
1,1,n1-r1-s018-x000,scale-n001-x000,66915058.789937,0.665244,31.574186,32.23943,0,200,1,SUSPICIOUS,
1,1,n1-r1-s019-x000,scale-n001-x000,66916058.789937,0.591219,36.514702,37.105921,0,200,1,SUSPICIOUS,
2,1,n2-r1-s000-x000,scale-n002-x000,66922112.477656,0.467005,40.860697,41.327702,0,200,1,SUSPICIOUS,
2,1,n2-r1-s000-x001,scale-n002-x001,66922112.477656,0.795847,36.286482,37.082329,0,200,1,SUSPICIOUS,
2,1,n2-r1-s001-x000,scale-n002-x000,66923112.477656,0.925375,52.629501,53.554876,0,200,1,SUSPICIOUS,
2,1,n2-r1-s001-x001,scale-n002-x001,66923112.477656,1.186446,54.088757,55.275203,0,200,1,SUSPICIOUS,
2,1,n2-r1-s002-x000,scale-n002-x000,66924112.477656,0.74701,42.505482,43.252492,0,200,1,SUSPICIOUS,
2,1,n2-r1-s002-x001,scale-n002-x001,66924112.477656,0.943055,42.404345,43.3474,0,200,1,SUSPICIOUS,
2,1,n2-r1-s003-x000,scale-n002-x000,66925112.477656,0.958754,46.780311,47.739065,0,200,1,SUSPICIOUS,
2,1,n2-r1-s003-x001,scale-n002-x001,66925112.477656,1.242896,46.64245,47.885346,0,200,1,SUSPICIOUS,
2,1,n2-r1-s004-x000,scale-n002-x000,66926112.477656,0.559121,62.743284,63.302405,0,200,1,SUSPICIOUS,
2,1,n2-r1-s004-x001,scale-n002-x001,66926112.477656,0.803333,58.724836,59.528169,0,200,1,SUSPICIOUS,
2,1,n2-r1-s005-x000,scale-n002-x000,66927112.477656,0.394359,39.487812,39.882171,0,200,1,SUSPICIOUS,
2,1,n2-r1-s005-x001,scale-n002-x001,66927112.477656,0.928055,40.03876,40.966815,0,200,1,SUSPICIOUS,
2,1,n2-r1-s006-x000,scale-n002-x000,66928112.477656,0.334331,60.158402,60.492733,0,200,1,SUSPICIOUS,
2,1,n2-r1-s006-x001,scale-n002-x001,66928112.477656,0.568761,58.29595,58.864711,0,200,1,SUSPICIOUS,
2,1,n2-r1-s007-x000,scale-n002-x000,66929112.477656,0.374534,44.617163,44.991697,0,200,1,SUSPICIOUS,
2,1,n2-r1-s007-x001,scale-n002-x001,66929112.477656,0.666184,45.042779,45.708963,0,200,1,SUSPICIOUS,
2,1,n2-r1-s008-x000,scale-n002-x000,66930112.477656,0.403748,53.848645,54.252393,0,200,1,SUSPICIOUS,
2,1,n2-r1-s008-x001,scale-n002-x001,66930112.477656,0.777436,53.323381,54.100817,0,200,1,SUSPICIOUS,
2,1,n2-r1-s009-x000,scale-n002-x000,66931112.477656,0.377797,54.379329,54.757126,0,200,1,SUSPICIOUS,
2,1,n2-r1-s009-x001,scale-n002-x001,66931112.477656,0.603291,54.519884,55.123175,0,200,1,SUSPICIOUS,
2,1,n2-r1-s010-x000,scale-n002-x000,66932112.477656,0.213517,57.845696,58.059213,0,200,1,SUSPICIOUS,
2,1,n2-r1-s010-x001,scale-n002-x001,66932112.477656,0.449525,57.776556,58.226081,0,200,1,SUSPICIOUS,
2,1,n2-r1-s011-x000,scale-n002-x000,66933112.477656,0.474541,54.548849,55.02339,0,200,1,SUSPICIOUS,
2,1,n2-r1-s011-x001,scale-n002-x001,66933112.477656,0.686378,54.466758,55.153136,0,200,1,SUSPICIOUS,
2,1,n2-r1-s012-x000,scale-n002-x000,66934112.477656,0.665225,74.544244,75.209469,0,200,1,SUSPICIOUS,
2,1,n2-r1-s012-x001,scale-n002-x001,66934112.477656,0.920331,74.427223,75.347554,0,200,1,SUSPICIOUS,
2,1,n2-r1-s013-x000,scale-n002-x000,66935112.477656,0.576353,53.128121,53.704474,0,200,1,SUSPICIOUS,
2,1,n2-r1-s013-x001,scale-n002-x001,66935112.477656,0.859748,54.369622,55.22937,0,200,1,SUSPICIOUS,
2,1,n2-r1-s014-x000,scale-n002-x000,66936112.477656,0.501745,67.4009,67.902645,0,200,1,SUSPICIOUS,
2,1,n2-r1-s014-x001,scale-n002-x001,66936112.477656,0.803943,67.227208,68.031151,0,200,1,SUSPICIOUS,
2,1,n2-r1-s015-x000,scale-n002-x000,66937112.477656,0.580147,54.860521,55.440668,0,200,1,SUSPICIOUS,
2,1,n2-r1-s015-x001,scale-n002-x001,66937112.477656,0.866862,54.811331,55.678193,0,200,1,SUSPICIOUS,
2,1,n2-r1-s016-x000,scale-n002-x000,66938112.477656,1.022948,55.655066,56.678014,0,200,1,SUSPICIOUS,
2,1,n2-r1-s016-x001,scale-n002-x001,66938112.477656,1.32167,53.560423,54.882093,0,200,1,SUSPICIOUS,
2,1,n2-r1-s017-x000,scale-n002-x000,66939112.477656,0.26159,87.567034,87.828624,0,200,1,SUSPICIOUS,
2,1,n2-r1-s017-x001,scale-n002-x001,66939112.477656,0.658219,86.952827,87.611046,0,200,1,SUSPICIOUS,
2,1,n2-r1-s018-x000,scale-n002-x000,66940112.477656,0.297784,64.692684,64.990468,0,200,1,SUSPICIOUS,
2,1,n2-r1-s018-x001,scale-n002-x001,66940112.477656,0.493872,64.642397,65.136269,0,200,1,SUSPICIOUS,
2,1,n2-r1-s019-x000,scale-n002-x000,66941112.477656,1.61476,67.671633,69.286393,0,200,1,SUSPICIOUS,
2,1,n2-r1-s019-x001,scale-n002-x001,66941112.477656,1.956536,65.402039,67.358575,0,200,1,SUSPICIOUS,
3,1,n3-r1-s000-x000,scale-n003-x000,66947313.175377,0.493299,62.326194,62.819493,0,200,1,SUSPICIOUS,
3,1,n3-r1-s000-x001,scale-n003-x001,66947313.175377,0.818959,59.19042,60.009379,0,200,1,SUSPICIOUS,
3,1,n3-r1-s000-x002,scale-n003-x002,66947313.175377,1.34699,63.322927,64.669917,0,200,1,SUSPICIOUS,
3,1,n3-r1-s001-x000,scale-n003-x000,66948313.175377,0.690873,73.415218,74.106091,0,200,1,SUSPICIOUS,
3,1,n3-r1-s001-x001,scale-n003-x001,66948313.175377,1.526864,72.448779,73.975643,0,200,1,SUSPICIOUS,
3,1,n3-r1-s001-x002,scale-n003-x002,66948313.175377,1.739963,75.128297,76.86826,0,200,1,SUSPICIOUS,
3,1,n3-r1-s002-x000,scale-n003-x000,66949313.175377,0.629924,65.16391,65.793834,0,200,1,SUSPICIOUS,
3,1,n3-r1-s002-x001,scale-n003-x001,66949313.175377,0.859988,69.616683,70.476671,0,200,1,SUSPICIOUS,
3,1,n3-r1-s002-x002,scale-n003-x002,66949313.175377,1.101409,69.230477,70.331886,0,200,1,SUSPICIOUS,
3,1,n3-r1-s003-x000,scale-n003-x000,66950313.175377,0.627541,64.073357,64.700898,0,200,1,SUSPICIOUS,
3,1,n3-r1-s003-x001,scale-n003-x001,66950313.175377,0.875853,69.524973,70.400826,0,200,1,SUSPICIOUS,
3,1,n3-r1-s003-x002,scale-n003-x002,66950313.175377,1.385876,74.402368,75.788244,0,200,1,SUSPICIOUS,
3,1,n3-r1-s004-x000,scale-n003-x000,66951313.175377,0.322922,47.776394,48.099316,0,200,1,SUSPICIOUS,
3,1,n3-r1-s004-x001,scale-n003-x001,66951313.175377,0.685232,54.628772,55.314004,0,200,1,SUSPICIOUS,
3,1,n3-r1-s004-x002,scale-n003-x002,66951313.175377,1.126948,57.99829,59.125238,0,200,1,SUSPICIOUS,
3,1,n3-r1-s005-x000,scale-n003-x000,66952313.175377,0.3696,77.266571,77.636171,0,200,1,SUSPICIOUS,
3,1,n3-r1-s005-x001,scale-n003-x001,66952313.175377,0.66154,80.150238,80.811778,0,200,1,SUSPICIOUS,
3,1,n3-r1-s005-x002,scale-n003-x002,66952313.175377,0.885007,76.977622,77.862629,0,200,1,SUSPICIOUS,
3,1,n3-r1-s006-x000,scale-n003-x000,66953313.175377,0.51854,64.36814,64.88668,0,200,1,SUSPICIOUS,
3,1,n3-r1-s006-x001,scale-n003-x001,66953313.175377,0.707724,56.474761,57.182485,0,200,1,SUSPICIOUS,
3,1,n3-r1-s006-x002,scale-n003-x002,66953313.175377,0.892042,58.897361,59.789403,0,200,1,SUSPICIOUS,
3,1,n3-r1-s007-x000,scale-n003-x000,66954313.175377,1.14669,76.430492,77.577182,0,200,1,SUSPICIOUS,
3,1,n3-r1-s007-x001,scale-n003-x001,66954313.175377,1.485125,72.168283,73.653408,0,200,1,SUSPICIOUS,
3,1,n3-r1-s007-x002,scale-n003-x002,66954313.175377,1.818046,75.559187,77.377233,0,200,1,SUSPICIOUS,
3,1,n3-r1-s008-x000,scale-n003-x000,66955313.175377,0.56217,64.843035,65.405205,0,200,1,SUSPICIOUS,
3,1,n3-r1-s008-x001,scale-n003-x001,66955313.175377,0.933859,67.863873,68.797732,0,200,1,SUSPICIOUS,
3,1,n3-r1-s008-x002,scale-n003-x002,66955313.175377,1.310467,54.220795,55.531262,0,200,1,SUSPICIOUS,
3,1,n3-r1-s009-x000,scale-n003-x000,66956313.175377,0.499237,66.759068,67.258305,0,200,1,SUSPICIOUS,
3,1,n3-r1-s009-x001,scale-n003-x001,66956313.175377,0.778708,72.738436,73.517144,0,200,1,SUSPICIOUS,
3,1,n3-r1-s009-x002,scale-n003-x002,66956313.175377,1.386623,72.245279,73.631902,0,200,1,SUSPICIOUS,
3,1,n3-r1-s010-x000,scale-n003-x000,66957313.175377,0.727588,78.480131,79.207719,0,200,1,SUSPICIOUS,
3,1,n3-r1-s010-x001,scale-n003-x001,66957313.175377,1.116496,77.900603,79.017099,0,200,1,SUSPICIOUS,
3,1,n3-r1-s010-x002,scale-n003-x002,66957313.175377,1.571657,79.561855,81.133512,0,200,1,SUSPICIOUS,
3,1,n3-r1-s011-x000,scale-n003-x000,66958313.175377,0.726671,71.554081,72.280752,0,200,1,SUSPICIOUS,
3,1,n3-r1-s011-x001,scale-n003-x001,66958313.175377,0.968934,66.862283,67.831217,0,200,1,SUSPICIOUS,
