trial_id,round,K,xapp,is_target,validity,t0_utc,tP_observed_ms,tP_server_utc,tL1_identity_ms,tL2_policy_selection_ms,tL3_service_ms,tL4_nodefilter_ms,tU_unreachable_ms,lock_all_ok,probe_unreachable,exec_rc
1,1,3,ricxapp-hw-go,1,VALID,2026-08-08T08:12:43.042703+00:00,,,2805.076,1577.233,1577.233,7214.379,7311.916,1,1,0
1,1,3,ricxapp-hw-python,1,VALID,2026-08-08T08:12:43.042452+00:00,,,6942.668,5183.807,6113.544,7214.631,7312.406,1,1,0
1,1,3,ricxapp-kpimon-go,1,VALID,2026-08-08T08:12:43.042281+00:00,,,4442.821,3482.992,3482.992,7214.801,7312.776,1,1,0
2,1,4,ricxapp-hw-go,1,VALID,2026-08-08T08:13:53.819763+00:00,,,7125.457,5723.68,908.428,9386.076,9513.556,1,1,0
2,1,4,ricxapp-hw-python,1,VALID,2026-08-08T08:13:53.818895+00:00,,,4771.107,3552.864,3552.864,9386.944,9514.966,1,1,0
2,1,4,ricxapp-kpimon-go,1,VALID,2026-08-08T08:13:53.819036+00:00,,,2545.603,1341.745,1341.745,9386.803,9515.037,1,1,0
2,1,4,ricxapp-trafficxapp,1,VALID,2026-08-08T08:13:53.818587+00:00,,,9270.615,8111.94,8111.94,9387.252,9516.396,1,1,0
3,1,2,ricxapp-hw-go,1,VALID,2026-08-08T08:15:05.162995+00:00,,,1788.129,936.272,936.272,4301.898,4520.896,1,1,0
3,1,2,ricxapp-hw-python,1,VALID,2026-08-08T08:15:05.162902+00:00,,,4151.926,2751.63,2751.63,4301.991,4532.379,1,1,0
4,1,1,ricxapp-hw-go,1,VALID,2026-08-08T08:16:13.453938+00:00,,,1773.542,860.654,860.654,1946.126,2093.099,1,1,0
5,2,3,ricxapp-hw-go,1,VALID,2026-08-08T08:17:19.302855+00:00,,,6256.742,4509.352,5416.344,6884.855,7090.549,1,1,0
5,2,3,ricxapp-hw-python,1,VALID,2026-08-08T08:17:19.302783+00:00,,,4751.014,2887.915,2887.915,6884.928,7091.305,1,1,0
5,2,3,ricxapp-trafficxapp,1,VALID,2026-08-08T08:17:19.302371+00:00,,,2251.59,1198.546,1198.546,6885.339,7092.756,1,1,0
6,2,2,ricxapp-hw-go,1,VALID,2026-08-08T08:18:28.240515+00:00,,,1827.74,1125.823,1125.823,4405.984,4543.942,1,1,0
6,2,2,ricxapp-kpimon-go,1,VALID,2026-08-08T08:18:28.240478+00:00,,,4224.392,2977.144,2977.144,4406.021,4544.531,1,1,0
7,2,4,ricxapp-hw-go,1,VALID,2026-08-08T08:19:35.355512+00:00,,,3676.365,1936.707,1936.707,9775.845,9919.296,1,1,0
7,2,4,ricxapp-hw-python,1,VALID,2026-08-08T08:19:35.355644+00:00,,,5671.322,3942.299,3942.299,9775.712,9919.731,1,1,0
7,2,4,ricxapp-kpimon-go,1,VALID,2026-08-08T08:19:35.355755+00:00,,,9432.044,8543.796,8543.796,9775.601,9921.041,1,1,0
7,2,4,ricxapp-trafficxapp,1,VALID,2026-08-08T08:19:35.355317+00:00,,,7714.943,6172.559,6172.559,9776.039,9921.913,1,1,0
8,2,1,ricxapp-hw-python,1,VALID,2026-08-08T08:20:50.279619+00:00,,,1859.233,818.401,818.401,2083.08,2237.251,1,1,0
9,3,4,ricxapp-hw-go,1,VALID,2026-08-08T08:21:54.647461+00:00,,,5139.563,3528.055,3528.055,10030.592,10181.08,1,1,0
9,3,4,ricxapp-hw-python,1,VALID,2026-08-08T08:21:54.648239+00:00,,,7010.507,5524.933,7010.507,10029.814,10181.422,1,1,0
9,3,4,ricxapp-kpimon-go,1,VALID,2026-08-08T08:21:54.647866+00:00,,,9678.97,8500.928,8500.928,10030.187,10182.929,1,1,0
9,3,4,ricxapp-trafficxapp,1,VALID,2026-08-08T08:21:54.646229+00:00,,,3004.151,1419.176,1419.176,10031.824,10186.321,1,1,0
10,3,1,ricxapp-kpimon-go,1,VALID,2026-08-08T08:23:08.673301+00:00,,,2723.823,1123.484,1123.484,2900.116,3071.303,1,1,0
11,3,3,ricxapp-hw-go,1,VALID,2026-08-08T08:24:42.931936+00:00,,,2402.234,1281.989,1281.989,6117.766,6235.112,1,1,0
11,3,3,ricxapp-kpimon-go,1,VALID,2026-08-08T08:24:42.931173+00:00,,,5875.516,4890.547,4890.547,6118.529,6236.573,1,1,0
11,3,3,ricxapp-trafficxapp,1,VALID,2026-08-08T08:24:42.930974+00:00,,,4053.22,3102.16,3102.16,6118.728,6237.088,1,1,0
12,3,2,ricxapp-hw-go,1,VALID,2026-08-08T08:25:50.386695+00:00,,,1692.147,1127.521,1127.521,3644.478,3773.52,1,1,0
12,3,2,ricxapp-trafficxapp,1,VALID,2026-08-08T08:25:50.386460+00:00,,,3471.246,2630.049,2630.049,3644.713,3774.057,1,1,0
13,4,2,ricxapp-hw-python,1,VALID,2026-08-08T08:26:55.788054+00:00,,,3806.688,3100.708,3100.708,4158.083,4352.227,1,1,0
13,4,2,ricxapp-kpimon-go,1,VALID,2026-08-08T08:26:55.787791+00:00,,,1840.748,642.593,1206.068,4158.347,4353.238,1,1,0
14,4,3,ricxapp-hw-python,1,VALID,2026-08-08T08:28:44.377949+00:00,,,6484.824,4834.351,4834.351,6880.406,6989.971,1,1,0
14,4,3,ricxapp-kpimon-go,1,VALID,2026-08-08T08:28:44.377753+00:00,,,3205.813,1254.693,2280.15,6880.602,6990.45,1,1,0
14,4,3,ricxapp-trafficxapp,1,VALID,2026-08-08T08:28:44.377588+00:00,,,4477.995,3456.2,3456.2,6880.767,6990.904,1,1,0
15,4,1,ricxapp-trafficxapp,1,VALID,2026-08-08T08:29:51.990976+00:00,,,1495.686,698.038,698.038,1697.388,1833.849,1,1,0
