trial_id,round,K,target_set,execution_order,seed
1,1,3,ricxapp-hw-go|ricxapp-hw-python|ricxapp-kpimon-go,1,20260808
2,1,4,ricxapp-hw-go|ricxapp-hw-python|ricxapp-kpimon-go|ricxapp-trafficxapp,2,20260808
3,1,2,ricxapp-hw-go|ricxapp-hw-python,3,20260808
4,1,1,ricxapp-hw-go,4,20260808
5,2,3,ricxapp-hw-go|ricxapp-hw-python|ricxapp-trafficxapp,5,20260808
6,2,2,ricxapp-hw-go|ricxapp-kpimon-go,6,20260808
7,2,4,ricxapp-hw-go|ricxapp-hw-python|ricxapp-kpimon-go|ricxapp-trafficxapp,7,20260808
8,2,1,ricxapp-hw-python,8,20260808
9,3,4,ricxapp-hw-go|ricxapp-hw-python|ricxapp-kpimon-go|ricxapp-trafficxapp,9,20260808
10,3,1,ricxapp-kpimon-go,10,20260808
11,3,3,ricxapp-hw-go|ricxapp-kpimon-go|ricxapp-trafficxapp,11,20260808
12,3,2,ricxapp-hw-go|ricxapp-trafficxapp,12,20260808
13,4,2,ricxapp-hw-python|ricxapp-kpimon-go,13,20260808
14,4,3,ricxapp-hw-python|ricxapp-kpimon-go|ricxapp-trafficxapp,14,20260808
15,4,1,ricxapp-trafficxapp,15,20260808
16,4,4,ricxapp-hw-go|ricxapp-hw-python|ricxapp-kpimon-go|ricxapp-trafficxapp,16,20260808
17,5,3,ricxapp-hw-go|ricxapp-hw-python|ricxapp-kpimon-go,17,20260808
18,5,1,ricxapp-hw-go,18,20260808
19,5,2,ricxapp-hw-python|ricxapp-trafficxapp,19,20260808
20,5,4,ricxapp-hw-go|ricxapp-hw-python|ricxapp-kpimon-go|ricxapp-trafficxapp,20,20260808
21,6,1,ricxapp-hw-python,21,20260808
22,6,2,ricxapp-kpimon-go|ricxapp-trafficxapp,22,20260808
23,6,3,ricxapp-hw-go|ricxapp-hw-python|ricxapp-trafficxapp,23,20260808
24,6,4,ricxapp-hw-go|ricxapp-hw-python|ricxapp-kpimon-go|ricxapp-trafficxapp,24,20260808
