NAME                                        TYPE           CLUSTER-IP       EXTERNAL-IP   PORT(S)                         AGE     SELECTOR
aux-entry                                   ClusterIP      10.96.2.145      <none>        80/TCP,443/TCP                  9d      <none>
r4-influxdb-influxdb2                       ClusterIP      10.108.202.251   <none>        80/TCP                          9d      app.kubernetes.io/instance=r4-influxdb,app.kubernetes.io/name=influxdb2
r4-infrastructure-kong-manager              NodePort       10.98.13.48      <none>        8002:32097/TCP,8445:30729/TCP   9d      app.kubernetes.io/component=app,app.kubernetes.io/instance=r4-infrastructure,app.kubernetes.io/name=kong
r4-infrastructure-kong-proxy                LoadBalancer   10.100.187.27    <pending>     80:32080/TCP,443:32443/TCP      9d      app.kubernetes.io/component=app,app.kubernetes.io/instance=r4-infrastructure,app.kubernetes.io/name=kong
r4-infrastructure-kong-validation-webhook   ClusterIP      10.102.131.43    <none>        443/TCP                         9d      app.kubernetes.io/component=app,app.kubernetes.io/instance=r4-infrastructure,app.kubernetes.io/managed-by=Helm,app.kubernetes.io/name=kong,app.kubernetes.io/version=3.6,helm.sh/chart=kong-2.38.0
r4-infrastructure-prometheus-alertmanager   ClusterIP      10.98.6.171      <none>        80/TCP                          9d      app=prometheus,component=alertmanager,release=r4-infrastructure
r4-infrastructure-prometheus-server         ClusterIP      10.110.113.98    <none>        80/TCP                          9d      app=prometheus,component=server,release=r4-infrastructure
service-ricplt-a1mediator-http              ClusterIP      10.111.169.35    <none>        10000/TCP                       9d      app=ricplt-a1mediator,release=r4-a1mediator
service-ricplt-a1mediator-rmr               ClusterIP      10.102.14.14     <none>        4561/TCP,4562/TCP               9d      app=ricplt-a1mediator,release=r4-a1mediator
service-ricplt-alarmmanager-http            ClusterIP      10.110.105.92    <none>        8080/TCP                        9d      app=ricplt-alarmmanager,release=r4-alarmmanager
service-ricplt-alarmmanager-rmr             ClusterIP      10.109.146.17    <none>        4560/TCP,4561/TCP               9d      app=ricplt-alarmmanager,release=r4-alarmmanager
service-ricplt-appmgr-http                  ClusterIP      10.108.120.215   <none>        8080/TCP                        9d      app=ricplt-appmgr,release=r4-appmgr
service-ricplt-appmgr-rmr                   ClusterIP      10.103.61.197    <none>        4561/TCP,4560/TCP               9d      app=ricplt-appmgr,release=r4-appmgr
service-ricplt-dbaas-tcp                    ClusterIP      None             <none>        6379/TCP                        9d      app=ricplt-dbaas,release=r4-dbaas
service-ricplt-e2mgr-http                   ClusterIP      10.108.243.89    <none>        3800/TCP                        9d      app=ricplt-e2mgr,release=r4-e2mgr
service-ricplt-e2mgr-rmr                    ClusterIP      10.108.199.251   <none>        4561/TCP,3801/TCP               9d      app=ricplt-e2mgr,release=r4-e2mgr
service-ricplt-e2term-prometheus-alpha      ClusterIP      10.109.240.139   <none>        8088/TCP                        9d      app=ricplt-e2term-alpha,release=r4-e2term
service-ricplt-e2term-rmr-alpha             ClusterIP      10.102.233.54    <none>        4561/TCP,38000/TCP              9d      app=ricplt-e2term-alpha,release=r4-e2term
service-ricplt-e2term-sctp-alpha            NodePort       10.108.117.47    <none>        36422:32222/SCTP                9d      app=ricplt-e2term-alpha,release=r4-e2term
service-ricplt-o1mediator-http              ClusterIP      10.103.147.252   <none>        9001/TCP,8080/TCP,3000/TCP      9d      app=ricplt-o1mediator,release=r4-o1mediator
service-ricplt-o1mediator-tcp-netconf       NodePort       10.110.82.76     <none>        830:30830/TCP                   9d      app=ricplt-o1mediator,release=r4-o1mediator
service-ricplt-rtmgr-http                   ClusterIP      10.107.112.218   <none>        3800/TCP                        9d      app=ricplt-rtmgr,release=r4-rtmgr
service-ricplt-rtmgr-rmr                    ClusterIP      10.110.39.186    <none>        4561/TCP,4560/TCP               9d      app=ricplt-rtmgr,release=r4-rtmgr
service-ricplt-submgr-http                  ClusterIP      None             <none>        3800/TCP                        9d      app=ricplt-submgr,release=r4-submgr
service-ricplt-submgr-rmr                   ClusterIP      None             <none>        4560/TCP,4561/TCP               9d      app=ricplt-submgr,release=r4-submgr
service-ricplt-vespamgr-http                ClusterIP      10.100.210.94    <none>        8080/TCP,9095/TCP               9d      app=ricplt-vespamgr,release=r4-vespamgr
service-ricplt-xapp-onboarder-http          ClusterIP      10.100.6.185     <none>        8080/TCP                        131m    <none>
ztx-submgr-http                             ClusterIP      10.103.224.108   <none>        8088/TCP,8080/TCP,3800/TCP      5h53m   app=ricplt-submgr,release=r4-submgr
