NAMESPACE            NAME                                                        READY   STATUS    RESTARTS     AGE     IP                NODE          NOMINATED NODE   READINESS GATES
falco                falco-2r6cs                                                 2/2     Running   0            7d7h    10.244.0.162      near-rt-ric   <none>           <none>
falco                falco-falcosidekick-856495f798-r2brf                        1/1     Running   0            7d7h    10.244.0.167      near-rt-ric   <none>           <none>
falco                falco-falcosidekick-856495f798-tdjkr                        1/1     Running   0            7d7h    10.244.0.166      near-rt-ric   <none>           <none>
falco                falco-falcosidekick-ui-84f9fc7d87-7xmgg                     1/1     Running   0            7d7h    10.244.0.163      near-rt-ric   <none>           <none>
falco                falco-falcosidekick-ui-84f9fc7d87-tj7vn                     1/1     Running   0            7d7h    10.244.0.164      near-rt-ric   <none>           <none>
falco                falco-falcosidekick-ui-redis-0                              1/1     Running   0            7d7h    10.244.0.165      near-rt-ric   <none>           <none>
kube-flannel         kube-flannel-ds-jgwcg                                       1/1     Running   0            9d      192.168.112.129   near-rt-ric   <none>           <none>
kube-system          coredns-674b8bbfcf-p7p2l                                    1/1     Running   0            9d      10.244.0.3        near-rt-ric   <none>           <none>
kube-system          coredns-674b8bbfcf-twwkp                                    1/1     Running   0            9d      10.244.0.2        near-rt-ric   <none>           <none>
kube-system          etcd-near-rt-ric                                            1/1     Running   0            9d      192.168.112.129   near-rt-ric   <none>           <none>
kube-system          kube-apiserver-near-rt-ric                                  1/1     Running   0            9d      192.168.112.129   near-rt-ric   <none>           <none>
kube-system          kube-controller-manager-near-rt-ric                         1/1     Running   5            9d      192.168.112.129   near-rt-ric   <none>           <none>
kube-system          kube-proxy-fffd7                                            1/1     Running   0            9d      192.168.112.129   near-rt-ric   <none>           <none>
kube-system          kube-scheduler-near-rt-ric                                  1/1     Running   5            9d      192.168.112.129   near-rt-ric   <none>           <none>
local-path-storage   local-path-provisioner-6bc759bc5-dzvkb                      1/1     Running   0            9d      10.244.0.26       near-rt-ric   <none>           <none>
monitoring           grafana-5bf47bb7cb-zzdz8                                    1/1     Running   0            7d7h    10.244.0.174      near-rt-ric   <none>           <none>
monitoring           prometheus-alertmanager-0                                   1/1     Running   0            7d7h    10.244.0.172      near-rt-ric   <none>           <none>
monitoring           prometheus-kube-state-metrics-6b6cbc9fdf-8bgrf              1/1     Running   0            7d7h    10.244.0.169      near-rt-ric   <none>           <none>
monitoring           prometheus-prometheus-node-exporter-z845t                   1/1     Running   0            7d7h    192.168.112.129   near-rt-ric   <none>           <none>
monitoring           prometheus-prometheus-pushgateway-849f5c884c-6zzpk          1/1     Running   0            7d7h    10.244.0.168      near-rt-ric   <none>           <none>
monitoring           prometheus-server-f68d8d96d-6fkfc                           2/2     Running   0            7d7h    10.244.0.173      near-rt-ric   <none>           <none>
ricinfra             deployment-tiller-ricxapp-84b87b8c64-qdtnl                  1/1     Running   0            9d      10.244.0.15       near-rt-ric   <none>           <none>
ricplt               deployment-ricplt-a1mediator-f4888dfd7-sfz69                1/1     Running   0            9d      10.244.0.13       near-rt-ric   <none>           <none>
ricplt               deployment-ricplt-alarmmanager-7f984cdf77-jtq7d             1/1     Running   0            9d      10.244.0.18       near-rt-ric   <none>           <none>
ricplt               deployment-ricplt-appmgr-79cff89dd5-nmgp9                   1/1     Running   0            96m     10.244.0.216      near-rt-ric   <none>           <none>
ricplt               deployment-ricplt-e2mgr-7d798c54b7-wpgbz                    1/1     Running   0            2d17h   10.244.0.204      near-rt-ric   <none>           <none>
ricplt               deployment-ricplt-e2term-alpha-7b56999c99-69n2s             1/1     Running   0            2d17h   10.244.0.205      near-rt-ric   <none>           <none>
ricplt               deployment-ricplt-o1mediator-6fb8f84c97-pzkk8               1/1     Running   0            9d      10.244.0.17       near-rt-ric   <none>           <none>
ricplt               deployment-ricplt-rtmgr-698c7cb758-4cbkj                    1/1     Running   0            154m    10.244.0.213      near-rt-ric   <none>           <none>
ricplt               deployment-ricplt-submgr-76b98fb9c7-c2frr                   1/1     Running   0            154m    10.244.0.214      near-rt-ric   <none>           <none>
ricplt               deployment-ricplt-vespamgr-848f7bb874-bg9zn                 1/1     Running   0            9d      10.244.0.16       near-rt-ric   <none>           <none>
ricplt               r4-influxdb-influxdb2-0                                     1/1     Running   0            9d      10.244.0.65       near-rt-ric   <none>           <none>
ricplt               r4-infrastructure-kong-78657d8f48-qxcz6                     2/2     Running   0            9d      10.244.0.7        near-rt-ric   <none>           <none>
ricplt               r4-infrastructure-prometheus-alertmanager-b9cc56766-kzn97   2/2     Running   0            9d      10.244.0.5        near-rt-ric   <none>           <none>
ricplt               r4-infrastructure-prometheus-server-6476958975-vgcfh        1/1     Running   0            9d      10.244.0.6        near-rt-ric   <none>           <none>
ricplt               statefulset-ricplt-dbaas-server-0                           1/1     Running   0            9d      10.244.0.8        near-rt-ric   <none>           <none>
ricxapp              kpm-monitor-6b98c5654-xvbrt                                 1/1     Running   0            154m    10.244.0.215      near-rt-ric   <none>           <none>
ricxapp              qos-optimizer-77877f44b8-snz8x                              1/1     Running   0            2d19h   10.244.0.200      near-rt-ric   <none>           <none>
ricxapp              resource-optimizer-76cd8c474d-qq2dz                         1/1     Running   0            2d19h   10.244.0.201      near-rt-ric   <none>           <none>
ricxapp              security-observer-9f84cf9bd-4rg9z                           1/1     Running   0            2d19h   10.244.0.202      near-rt-ric   <none>           <none>
ricxapp              telemetry-monitor-667cc6d846-dfrf8                          1/1     Running   0            2d19h   10.244.0.199      near-rt-ric   <none>           <none>
ricxapp              traffic-analyzer-b8cb5d96-nfp2n                             1/1     Running   0            3d      10.244.0.198      near-rt-ric   <none>           <none>
spire-system         spire-agent-9nf8q                                           1/1     Running   1 (9d ago)   9d      192.168.112.129   near-rt-ric   <none>           <none>
spire-system         spire-server-0                                              2/2     Running   0            9d      10.244.0.59       near-rt-ric   <none>           <none>
spire-system         spire-spiffe-csi-driver-wsd5b                               2/2     Running   0            9d      10.244.0.57       near-rt-ric   <none>           <none>
zt-xguard            zt-xguard-policy-engine-85b66c55f-8ddgs                     1/1     Running   0            3d6h    10.244.0.186      near-rt-ric   <none>           <none>
